draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,gamma.1,gamma.2,nu.1,nu.2,mu.1,mu.2,log_prob_data
0,-418.6873672854283,0.947394388888286,0.10638009832687431,4.0,31.0,0.0,423.57080643935467,0.9107036555509976,0.08929634444900236,0.8979560017112255,0.10204399828877453,-2.3350656620057606,-0.8810320617375652,1.0293229519547042,0.3881107365646099,-2851.923333250264
1,-417.81584692549836,0.957113666740124,0.11670692469842758,3.0,15.0,0.0,419.64405293142005,0.5119435411434343,0.4880564588565657,0.792969557508788,0.20703044249121205,-2.3199138300259095,-1.5027834227118024,1.0303864676305814,1.1251419077058367,-2855.5010895235673
2,-421.7258818912635,0.6303129409722975,0.1282460608506968,2.0,7.0,0.0,423.03202806505044,0.21615319107088143,0.7838468089291186,0.4691584763430994,0.5308415236569006,-2.5539681604315367,-2.247959506806353,0.6380595216338792,1.0526359903975941,-2880.0093844965086
3,-420.9562370554212,0.991514702790152,0.12587532214707559,4.0,31.0,0.0,422.61721484664207,0.9193907419946298,0.08060925800537022,0.5671714324126824,0.4328285675873176,-2.638636931681576,-1.3772683274913753,1.0383970306779378,0.6555268155927022,-2871.2336046046335
4,-419.7722268753873,0.7197222406564349,0.10638009832687431,3.0,7.0,0.0,426.07246661342475,0.8761248150103328,0.12387518498966721,0.8866906725130309,0.11330932748696909,-2.211687827039062,-0.9310775071770808,0.8679891820686847,0.31005942318055113,-2862.764477451998
5,-419.17059143722537,0.9210653327226723,0.11670692469842758,4.0,23.0,0.0,419.5808035458789,0.34891285877984674,0.6510871412201533,0.9256374484649994,0.0743625515350006,-2.3185368381820606,-1.2980424254589713,0.6894813251459085,0.9095857523033365,-2859.583170845767
6,-417.55400014434986,1.0,0.1282460608506968,3.0,15.0,0.0,422.100837233643,0.2089227915269764,0.7910772084730235,0.4239480154645713,0.5760519845354287,-2.2357680993286366,-1.8957537921703758,0.7979657553876055,1.0406405609616964,-2853.2836868699533
7,-421.0361528880405,0.8726320738583,0.12587532214707559,5.0,31.0,0.0,425.34187992159997,0.5399941801893999,0.46000581981060007,0.9948014732986907,0.0051985267013092695,-2.0700947682880204,-1.2132217362722255,0.7078765611815818,1.3840040668268152,-2855.369884775976
8,-425.1784470104085,0.5664795694911747,0.10638009832687431,3.0,7.0,0.0,427.18647014156426,0.9124971500721053,0.0875028499278947,0.7316188545648769,0.26838114543512315,-2.5969504555171237,-0.9483089828412633,0.8030413957906274,0.3344974052654465,-2901.0701853018804
9,-420.271510811349,0.9906202001109158,0.11670692469842758,5.0,31.0,0.0,421.6160860210768,0.8994953145170583,0.10050468548294167,0.29685724368045346,0.7031427563195465,-2.3326469066238356,-2.243487531602189,1.0183419757403172,1.5449413320668843,-2863.7069802677847
10,-419.3692949269227,0.9631719997689231,0.1282460608506968,3.0,7.0,0.0,421.00058327266436,0.146725846389669,0.853274153610331,0.5226403120011611,0.4773596879988389,-2.6936707549237955,-1.5699986466703257,0.6525640446904521,0.9924128159096139,-2863.3450329867114
11,-419.885648932034,0.9965061285951369,0.12587532214707559,3.0,15.0,0.0,421.25188643793,0.6145037418413939,0.3854962581586061,0.9932342475943474,0.006765752405652581,-2.102173878767038,-0.9545541718746502,0.7583407596896367,1.1953955514349504,-2849.6287878289413
12,-420.63255529892626,0.9742492164489743,0.10638009832687431,3.0,7.0,0.0,428.11696415209826,0.8980669724079225,0.10193302759207745,0.9359759833505759,0.06402401664942414,-2.2381114834100244,-1.7858757835531704,1.1836289364854935,-0.10751654129177887,-2861.368825373062
13,-421.3525125054594,0.8244575845049454,0.11670692469842758,4.0,15.0,0.0,423.3044439172151,0.8193298962209459,0.18067010377905413,0.9707999527031129,0.029200047296887077,-2.0112955581118883,-2.298710536144737,0.7730269937875218,1.8277807158627324,-2861.333673248851
14,-417.27108129546156,1.0,0.1282460608506968,3.0,7.0,0.0,419.5392707386354,0.25594211951569945,0.7440578804843005,0.6942076736687324,0.3057923263312676,-1.9565469767856225,-2.412928645088151,0.49591834876716806,1.0729615780476962,-2850.7053826343135
15,-420.1672075731016,0.960250355992121,0.12587532214707559,4.0,31.0,0.0,424.30096231812854,0.9593860263956304,0.04061397360436958,0.8789736099823673,0.12102639001763271,-2.198976455322052,-1.0669946963724997,1.0622426970908228,1.3007496702196757,-2856.923728118719
16,-421.12604287184877,0.8726851562808123,0.10638009832687431,5.0,31.0,0.0,422.62590870010496,0.8964224583004352,0.10357754169956479,0.9500841558272872,0.049915844172712776,-2.0453378645879408,-1.7139893810559008,1.1820154880022369,-0.06081713778989793,-2864.199803267232
17,-417.40169191660465,0.9766465357463344,0.11670692469842758,4.0,31.0,0.0,422.0098476794343,0.7474339668481027,0.2525660331518973,0.8132675708966406,0.1867324291033594,-2.158938789009308,-1.9616829732078385,0.8040226347706723,1.3703601749868792,-2849.2454939803406
18,-419.11306904109057,0.995924733715169,0.1282460608506968,4.0,31.0,0.0,419.8317865529459,0.9655405484728161,0.03445945152718388,0.23119112262272182,0.7688088773772782,-1.9611554729647604,-2.1597292542458555,0.8805950746602201,1.1268919507791604,-2850.575843429103
19,-418.11379393971106,0.979535707021483,0.12587532214707559,5.0,63.0,0.0,421.55264999627724,0.14424618575324544,0.8557538142467546,0.16502571793146872,0.8349742820685313,-1.825719235580639,-2.1328243931648743,1.0654556909469806,1.0106787211687238,-2851.417224259136
20,-420.95181671146406,0.9919825617221686,0.10638009832687431,3.0,7.0,0.0,422.9294419153541,0.8304744072855498,0.16952559271445022,0.9706241905017885,0.029375809498211503,-2.02863791440132,-1.8982578321871397,1.0240424161324402,0.06892019411222902,-2862.141269367541
21,-418.39104409556325,0.9427048454098619,0.11670692469842758,4.0,31.0,0.0,419.5848198352405,0.4551397462907789,0.5448602537092211,0.20526619127998746,0.7947338087200125,-2.478142830755747,-2.1590893605697397,0.7932746234772046,0.8992410980874476,-2857.416281013348
22,-418.93873236054037,0.9556562165898265,0.1282460608506968,4.0,15.0,0.0,422.8999221908301,0.8745365853022177,0.12546341469778233,0.12559094446931357,0.8744090555306865,-1.1462489098912048,-2.201829302599112,0.7932096046708396,1.8899091574189832,-2854.45467732872
23,-417.7513020531177,0.9938144178856163,0.12587532214707559,5.0,31.0,0.0,419.4305651319268,0.6677596130601687,0.33224038693983127,0.8710044002040951,0.1289955997959049,-2.0705769878981006,-2.5043027937845803,0.823860189781204,1.2786482884510242,-2849.1066330522976
