draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,gamma.1,gamma.2,nu.1,nu.2,mu.1,mu.2,log_prob_data
0,-417.59436704154314,0.9124008698010991,0.14315701925752378,5.0,31.0,0.0,418.66774981576515,0.22637013332849298,0.773629866671507,0.03497807439579244,0.9650219256042075,-1.5471807881783206,-1.4726268394685682,0.8124716997551314,-0.11911024599791148,-2844.6750764584576
1,-416.0102636239255,0.9560086695752354,0.12360106967730566,4.0,27.0,0.0,418.4899654633371,0.5052363552890006,0.49476364471099943,0.45677264940455253,0.5432273505954475,-1.5214717823641761,-1.870934866939234,0.04321379717761359,-0.10380421428701857,-2849.4599197103107
2,-417.80914816518344,0.9788768018707004,0.14153344395467612,4.0,31.0,0.0,421.68159319560715,0.898141471277591,0.10185852872240897,0.08736605989865795,0.912633940101342,-2.404858015795141,-1.4136924682038505,-0.08759462224172607,0.9511179250518064,-2844.6254391388466
3,-420.4881634524998,0.8939426913305841,0.13260380661761337,4.0,15.0,0.0,423.4904757942709,0.007308590076954207,0.9926914099230458,0.028318457259868444,0.9716815427401315,-0.3243380998381999,-1.6934179824301503,-0.3705915470305004,0.11664442098175681,-2843.084792701575
4,-418.2624424837969,0.9389688282906814,0.14315701925752378,3.0,11.0,0.0,420.5865637556604,0.1906127610775977,0.8093872389224023,0.03856260828627791,0.9614373917137221,-2.1556136196985114,-1.6567736425310031,0.9499963805470015,-0.16382237603679178,-2846.399574610609
5,-415.8014492489403,0.9975623887192782,0.12360106967730566,3.0,15.0,0.0,417.89462249975224,0.8152208322907105,0.18477916770928948,0.5781545045049921,0.42184549549500794,-1.5088620123871652,-1.3543305483082024,0.1937962355112382,-0.3372553055514188,-2845.751725727597
6,-418.64763151507947,0.9429092781378877,0.14153344395467612,4.0,15.0,0.0,419.048151488909,0.9514534295721202,0.0485465704278798,0.09393763881147237,0.9060623611885277,-2.368182694940224,-1.371787471785519,-0.011666888102406986,0.9174051775547474,-2846.46063094351
7,-420.3919912600565,0.723458308992497,0.13260380661761337,2.0,3.0,0.0,423.69526576272574,0.008967698681222989,0.9910323013187771,0.03993603101567576,0.9600639689843242,-0.3308276895411247,-1.6152557844092474,-0.3587786391644969,-0.05761512763104537,-2846.349596297004
8,-419.25152145307356,0.8985509979939854,0.14315701925752378,3.0,7.0,0.0,419.5329006469623,0.16786629439867745,0.8321337056013225,0.03796362119451508,0.9620363788054849,-2.171182234171569,-1.7064932232661114,0.914198033621479,-0.1786688996290881,-2852.2923736959483
9,-415.3946408076571,0.9901525833082506,0.12360106967730566,4.0,15.0,0.0,417.4648050346238,0.58161657908601,0.41838342091398995,0.8583149250955505,0.14168507490444948,-1.68818410042028,-1.3248012951615298,0.14463880429286965,0.11689525611129435,-2841.1214163989966
10,-417.38870985157587,0.989202079379501,0.14153344395467612,5.0,47.0,0.0,421.4017019473026,0.9442864628129195,0.0557135371870805,0.46664373725837016,0.5333562627416298,-1.5910227202691736,-1.6009037780047537,0.01789149813748657,1.9363243075444003,-2845.6332597020923
11,-420.04844808584295,0.9963050338087585,0.13260380661761337,4.0,15.0,0.0,421.1274092137168,0.009275371675803955,0.990724628324196,0.06356597129365069,0.9364340287063493,-0.07397098105608874,-1.6197108896132175,-0.28643525659121255,0.12044824753287149,-2847.353914047001
12,-417.3011365285551,0.7950316367122838,0.14315701925752378,5.0,31.0,0.0,422.50472992397806,0.32418663524712815,0.6758133647528719,0.5631999419709924,0.43680005802900757,-1.5675597099796554,-1.7873207629050993,0.6351196353550509,0.06673060775005611,-2857.2065543000544
13,-414.24629962738135,0.9896442442885843,0.12360106967730566,4.0,23.0,0.0,417.69947059106596,0.4616404956837234,0.5383595043162765,0.5717048116013528,0.4282951883986472,-1.4943475375914577,-1.622609234254794,0.32250232660223077,-0.2551429705752381,-2837.827768625296
14,-418.7468957205251,0.9477391986389077,0.14153344395467612,3.0,15.0,0.0,421.85655078686625,0.9571597143193707,0.04284028568062925,0.0827007317244369,0.9172992682755631,-2.073281968704192,-1.6064225808078518,-0.04643078879733112,1.7648784119127883,-2844.0919543818304
15,-420.2495825026322,0.9646335474769148,0.13260380661761337,3.0,7.0,0.0,421.2029123101567,0.014680287214234143,0.9853197127857659,0.061659081591773426,0.9383409184082265,-0.15068234688734466,-1.5320094507760564,-0.25836824473137526,-0.011818630071149958,-2851.9302182049078
16,-415.1424663364872,0.9899783513581984,0.14315701925752378,3.0,15.0,0.0,418.28970730159404,0.15158553670719987,0.8484144632928001,0.5090634083522693,0.49093659164773074,-1.410335562071038,-1.7994878238304102,0.6004105384190823,0.033732196251999885,-2839.130578825262
17,-415.47428969379945,0.9990458263511874,0.12360106967730566,5.0,31.0,0.0,417.1719813675145,0.3354840308384624,0.6645159691615377,0.10974403426862128,0.8902559657313787,-1.3431881976577935,-1.671584012509032,-0.4190772614119035,0.3312703802814782,-2839.3436792735956
18,-420.575700456977,0.8507629945862952,0.14153344395467612,3.0,15.0,0.0,425.9192291812297,0.9271742411117171,0.07282575888828291,0.03791250164465389,0.9620874983553461,-2.1277301965038804,-1.6738501483543076,-0.11701416033101403,1.7157262348827413,-2854.861102869557
19,-422.67561960070657,0.7118548502283069,0.13260380661761337,4.0,23.0,0.0,427.2642631655074,0.015608653794091078,0.984391346205909,0.003814799366514247,0.9961852006334857,0.5466173366902172,-1.646216889350309,0.31068479889301753,-0.09389214303715457,-2849.7115375632034
20,-417.26268705464867,0.9560203908929997,0.14315701925752378,5.0,31.0,0.0,418.44972086927925,0.028105674468714256,0.9718943255312857,0.45015293934261724,0.5498470606573828,-1.7602507136029575,-1.544770559934208,1.718379959287098,-0.001551701360377685,-2840.54777596152
21,-417.3654162339763,0.9291581717425949,0.12360106967730566,4.0,15.0,0.0,418.8297732424343,0.5840552362314565,0.4159447637685435,0.06034240505495741,0.9396575949450426,-1.6098213608811562,-1.41352238469878,-0.08878482100605842,0.40489026835602737,-2849.3476476864894
22,-419.6625167019733,0.9961779017212881,0.14153344395467612,5.0,31.0,0.0,422.2136010731331,0.9720632579052282,0.027936742094771816,0.9807825628654006,0.019217437134599447,-1.5011525465178415,-1.0802207873809588,0.005509006115267404,1.606761424481419,-2841.399942585811
23,-424.48006567765304,0.8458290604380871,0.13260380661761337,3.0,15.0,0.0,433.83467037664866,0.0032150678998989013,0.9967849321001011,0.04490646517922431,0.9550935348207756,1.2797126796813214,-1.5811961733847015,-1.0712759560383018,-0.017654435794764223,-2866.2148336882137
24,-414.5047242967213,0.912307407405379,0.14315701925752378,5.0,31.0,0.0,419.91761810359543,0.7068355067464122,0.29316449325358784,0.2399189295075811,0.7600810704924189,-1.353684028277149,-1.62270884058651,0.13415061293697617,-0.20059935130558654,-2836.762794742907
25,-414.6170351674972,1.0,0.12360106967730566,5.0,31.0,0.0,418.04878316120966,0.27451481199317096,0.725485188006829,0.3655918663497101,0.6344081336502899,-1.8000608811022452,-1.480347243117436,-0.4340107144684864,0.17957243580000348,-2837.9513541543
26,-418.9083969029836,0.976544417947871,0.14153344395467612,4.0,15.0,0.0,422.1067840673578,0.9885958878507569,0.011404112149243084,0.11468786730607569,0.8853121326939243,-1.752937219233385,-1.5360681506453042,0.11754409991127843,1.7204511199680768,-2839.6748004846518
27,-419.94424999079973,0.9884363058968315,0.13260380661761337,5.0,35.0,0.0,425.6984357243217,0.9559589785662845,0.044041021433715466,0.00634496950381975,0.9936550304961802,-0.4683793776146839,-1.5410632727258777,0.16956724961818864,-0.23216912101093612,-2841.681308856168
28,-415.71586709940806,0.9649479365898727,0.14315701925752378,4.0,15.0,0.0,416.2655658771233,0.4155295037887981,0.584470496211202,0.3065456846105488,0.6934543153894512,-0.9356615643062024,-1.7927130941003926,0.34983472340227667,-0.2646464253861504,-2847.493777610661
