draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,mu.1,mu.2,log_prob_data
0,-212.59455570806753,0.8798456088449327,0.12831397245528595,2.0,3.0,0.0,214.4714403153155,0.8418394654704132,0.15816053452958678,1.1169619349324438,0.38317916928977874,-1453.418935999767
1,-212.82304245060195,0.9981251944902764,0.16148718527119207,3.0,7.0,0.0,212.87188675902638,0.11752551878861704,0.8824744812113829,0.5153811288675546,1.0942392196188144,-1453.2124206591914
2,-212.90052770916407,0.905594704255379,0.16686800712275793,3.0,15.0,0.0,215.07973134381461,0.35588870155836544,0.6441112984416346,1.2905303780069477,1.05469120567658,-1458.090893987975
3,-213.40795629274197,0.8504850061288568,0.18267628987911633,4.0,15.0,0.0,213.94463395978715,0.6227579737054989,0.3772420262945011,0.9249578366625376,1.5920449840823965,-1461.2369960215995
4,-213.24382256528637,0.6358979766280998,0.12831397245528595,4.0,31.0,0.0,215.15674606752532,0.523189039960781,0.47681096003921897,1.4148758043553729,0.913886898882318,-1460.9953678230834
5,-213.9608199976541,0.9547227195345656,0.16148718527119207,2.0,7.0,0.0,216.53088753154805,0.35770126905257527,0.6422987309474247,0.24363130711067135,1.2425471062957167,-1466.4449587610095
6,-213.92420259672164,0.984559953332169,0.16686800712275793,4.0,15.0,0.0,214.44872833896656,0.09757574787158489,0.9024242521284151,0.3236286991382842,0.9888638513351364,-1460.0168169709557
7,-213.5939748151157,0.9307133400453593,0.18267628987911633,4.0,17.0,0.0,215.54613170413427,0.9327571715558803,0.06724282844411966,1.0361934630574854,0.03203475032096891,-1455.3989602905147
8,-212.7996381757483,1.0,0.12831397245528595,2.0,7.0,0.0,213.42533937725477,0.5413201305387358,0.45867986946126416,1.3337189782890393,0.9257465146695071,-1458.0683602129761
9,-212.68013351366312,0.9661936672003869,0.16148718527119207,2.0,3.0,0.0,214.04480588584906,0.21963940697052958,0.7803605930294704,0.2809403517247522,1.3185514349811145,-1455.3892818213858
10,-212.73749047301632,0.7710472322658938,0.16686800712275793,2.0,3.0,0.0,215.17177288097733,0.14246374002173745,0.8575362599782625,0.29596060471464264,1.1047901479574231,-1453.886386426349
11,-215.31405610457128,0.7452972438357726,0.18267628987911633,2.0,7.0,0.0,215.98340879988464,0.971330898221902,0.028669101778098005,1.212927651994502,-0.044469982840554874,-1461.3279361285183
12,-212.07894500373632,0.8410033681228402,0.12831397245528595,3.0,11.0,0.0,215.7304256923533,0.48732919342614794,0.5126708065738521,0.886541062746302,1.1791569019405155,-1453.5296066385765
13,-212.951523427918,0.9531292396615058,0.16148718527119207,3.0,11.0,0.0,213.8860249393054,0.09896527903166268,0.9010347209683374,0.18968327466685464,1.094588560887274,-1453.253989066571
14,-212.75281054100577,0.8243659438641975,0.16686800712275793,2.0,7.0,0.0,213.95983597652932,0.22725352871007373,0.7727464712899262,0.3410892560543189,1.1325276016482086,-1456.4203965013194
15,-216.4237497584472,1.0,0.18267628987911633,2.0,7.0,0.0,217.86704418452442,0.9925682746400786,0.007431725359921426,0.9377433029772421,0.31458017020723406,-1460.2442222410514
16,-212.8412531437005,0.8006306948707357,0.12831397245528595,2.0,7.0,0.0,215.09856400471745,0.2805131851788495,0.7194868148211505,0.542030817759795,1.0948323110994616,-1457.9117631778506
17,-212.21258679964546,0.984135459122973,0.16148718527119207,4.0,23.0,0.0,214.49295396964575,0.5963617658883145,0.40363823411168553,0.9744004253941542,1.2064066746823163,-1453.9984435344554
18,-212.681456014573,0.9762883012516607,0.16686800712275793,2.0,3.0,0.0,213.01123592365113,0.14440825315063008,0.8555917468493699,0.4154915097859866,1.2006649308267663,-1453.3129932584939
19,-214.1259673581565,0.9926009446329246,0.18267628987911633,4.0,31.0,0.0,216.45985041756697,0.052727600846738734,0.9472723991532612,1.6641324578186099,1.0637690987643742,-1455.0603816237708
20,-214.62713560279738,0.8589968132912041,0.12831397245528595,3.0,15.0,0.0,216.2199594953546,0.40488713841478446,0.5951128615852155,0.6717765246033435,0.9754741029907398,-1471.5496454969748
21,-213.53947494673335,0.8183502131067452,0.16148718527119207,3.0,7.0,0.0,213.96108038385836,0.46626513172251555,0.5337348682774845,1.057689280467989,1.2917163032212544,-1463.064041684298
22,-213.28472812999792,0.8177412564615086,0.16686800712275793,2.0,7.0,0.0,215.22541028237023,0.36618878785538356,0.6338112121446164,0.2779228275121247,1.4135899492216728,-1461.4370559664583
23,-214.15896126120634,0.926678558796544,0.18267628987911633,4.0,15.0,0.0,216.13938335364742,0.05130359028998357,0.9486964097100165,1.9621366656908998,0.968691223092901,-1454.343305163775
24,-212.41525429006126,1.0,0.12831397245528595,3.0,15.0,0.0,215.7624143429568,0.31028154338961944,0.6897184566103806,1.4551467105376026,0.9252824914314272,-1454.0949709403048
25,-212.32868162879572,0.9845459704131567,0.16148718527119207,3.0,9.0,0.0,213.61960187974088,0.47049181344639607,0.529508186553604,0.6442963915028668,1.26123624224306,-1455.382311065816
26,-213.03242934653014,0.46346569673898474,0.16686800712275793,2.0,3.0,0.0,216.27177686030396,0.2916750024799438,0.7083249975200562,0.22025918226421595,1.2483867746382147,-1459.2950026114738
27,-213.9797836189297,0.9672632464104305,0.18267628987911633,4.0,23.0,0.0,215.7426142565614,0.9320429569771636,0.06795704302283645,0.9811320041461014,0.5547143923758785,-1457.9628261757784
28,-212.1373470134375,0.99599109704032,0.12831397245528595,4.0,31.0,0.0,212.90734761158998,0.30624338544713753,0.6937566145528624,0.4980278332977219,1.2522636863037344,-1453.1244725122729
29,-214.75970544268446,0.6852106856901612,0.16148718527119207,2.0,3.0,0.0,215.11180978893515,0.5302917090079122,0.4697082909920878,0.6097349470908902,1.101784155070955,-1472.5366984802629
30,-212.11682565239087,0.9974341261051541,0.16686800712275793,4.0,19.0,0.0,213.8256236373206,0.4199812995241718,0.5800187004758282,0.8970706782705109,1.1693241992647803,-1453.6202107071817
31,-212.5152776304193,0.9771931479813294,0.18267628987911633,3.0,11.0,0.0,214.7706651707115,0.22499024226082015,0.7750097577391799,1.2621580740398834,0.970477947228387,-1453.7498150842537
32,-212.36532041639398,0.9994308129042322,0.12831397245528595,4.0,19.0,0.0,212.7749717274061,0.7089107344571006,0.2910892655428994,0.9028636984539576,1.275652572809925,-1453.9571996127086
33,-212.5312722620097,0.8191071613391339,0.16148718527119207,1.0,3.0,0.0,216.5835133882792,0.3729967253136932,0.6270032746863068,0.727496200678539,1.3675978512672533,-1456.0051651479992
34,-212.39371927526395,0.9845117338980481,0.16686800712275793,3.0,15.0,0.0,212.51572414113159,0.26661135362708355,0.7333886463729165,0.7578252723672786,1.089950860399403,-1454.3683980986254
35,-213.70046857227157,0.9905272665023189,0.18267628987911633,3.0,11.0,0.0,214.07528494387861,0.20492589491418434,0.7950741050858157,1.9910551594626393,0.8717122804125881,-1459.5777360766506
36,-212.81122645701782,0.9977401593682761,0.12831397245528595,4.0,15.0,0.0,213.89909480678116,0.3933272731878421,0.6066727268121579,0.5709666549103427,1.4802680404821205,-1457.9763730392922
37,-212.40233867276692,0.9617912361662447,0.16148718527119207,3.0,11.0,0.0,213.58025934652179,0.6067526035344892,0.39324739646551077,1.2895674120028142,0.8440380510451863,-1455.2738331309993
38,-212.1625959797997,0.9383536937989234,0.16686800712275793,4.0,19.0,0.0,213.15092203709614,0.5366817504507915,0.4633182495492085,1.1423614563336542,0.9678347645601444,-1454.0181967878507
39,-213.58819514543737,0.8881073958555316,0.18267628987911633,2.0,3.0,0.0,214.613679222025,0.20184255170315551,0.7981574482968445,1.97304339769462,0.8430029057731564,-1458.8283499815923
40,-212.81122645701782,0.29181123227791017,0.12831397245528595,2.0,3.0,0.0,223.48623334126128,0.3933272731878421,0.6066727268121579,0.5709666549103427,1.4802680404821205,-1457.9763730392922
41,-213.0088281929933,0.8211224383414876,0.16148718527119207,3.0,11.0,0.0,214.70349758503605,0.48508779930949975,0.5149122006905003,0.8987549039827335,0.965423198667518,-1460.3282619900083
42,-212.1583868555234,0.9913732240482661,0.16686800712275793,2.0,7.0,0.0,214.5897369761816,0.5644434833178167,0.4355565166821833,1.3968430282524977,0.6401530939698601,-1453.8076979067857
43,-214.42803457635102,0.9737772586981982,0.18267628987911633,3.0,7.0,0.0,214.49308733349022,0.23814662116518867,0.7618533788348113,2.0297076154884133,0.7368909480794367,-1465.3996310734406
44,-213.8724214548383,0.9988479094448124,0.12831397245528595,4.0,23.0,0.0,214.99278264320444,0.05151572562424119,0.9484842743757588,0.7168543747448805,1.113920246027325,-1455.010376711969
45,-212.45078614900675,0.990351458920842,0.16148718527119207,3.0,11.0,0.0,213.7955309537764,0.2645588142575359,0.7354411857424641,1.4441944153401445,0.942747881651581,-1453.6818423940854
46,-212.5142118712689,0.9451736739214226,0.16686800712275793,4.0,31.0,0.0,212.68921970861422,0.3530265638486333,0.6469734361513667,1.2179176194918848,1.0402622832697386,-1455.5805451231797
47,-214.9319698167405,0.8424825504246171,0.18267628987911633,4.0,31.0,0.0,216.26289803551828,0.9427560794385991,0.05724392056140093,1.1188805325116604,1.8703487200379179,-1460.4295116655626
48,-216.4782335345109,0.8669441812560575,0.12831397245528595,4.0,19.0,0.0,218.26438139324873,0.038656410132760444,0.9613435898672396,0.2962532543881428,1.2772925782352522,-1471.1505974740585
49,-212.43635022822463,0.9607376204505769,0.16148718527119207,4.0,15.0,0.0,212.9277000363468,0.7646408500101985,0.23535914998980145,1.2027461622058357,0.72153225304538,-1453.9129538278014
50,-212.46935303678242,0.9944158611193492,0.16686800712275793,2.0,7.0,0.0,213.50913856020742,0.24614944580825432,0.7538505541917457,1.2328268902905306,0.9976234228889046,-1453.8793025380369
51,-214.72095963382742,0.9989946118123402,0.18267628987911633,4.0,31.0,0.0,214.95162467049803,0.025717098164345406,0.9742829018356546,0.2163606638389765,1.150373207464901,-1456.5902469848882
52,-214.740285432855,0.9939800343397066,0.12831397245528595,3.0,7.0,0.0,219.1150509611625,0.02231056246406062,0.9776894375359394,0.6049754920710312,0.9938094808713551,-1455.7805546805405
53,-212.61347702917712,0.9832681703759223,0.16148718527119207,3.0,15.0,0.0,213.12740476442636,0.830474057486942,0.16952594251305797,1.246629790584068,0.18985546301333928,-1453.7661301296841
54,-213.4790586508504,0.7788165184007753,0.16686800712275793,2.0,7.0,0.0,214.46072779270432,0.31660273815704454,0.6833972618429555,1.211460200967719,1.1478334471782485,-1461.6818980602263
55,-214.69883045531705,0.9797136851288099,0.18267628987911633,4.0,31.0,0.0,219.27016796965376,0.02090981339539454,0.9790901866046055,0.8250565579719406,1.0127828772166776,-1454.7515459192166
56,-215.50150288373874,0.9998008070567805,0.12831397245528595,4.0,15.0,0.0,216.54300617911852,0.011351374377383172,0.9886486256226168,1.7448204673421939,1.0424156022015163,-1454.0499613710501
57,-212.47141651965867,0.9537404862185921,0.16148718527119207,3.0,15.0,0.0,213.83480666097248,0.7046133911236317,0.29538660887636825,1.0779043781653115,0.7539136803237664,-1455.364270705657
58,-213.30273045570976,0.9663330778927318,0.16686800712275793,4.0,31.0,0.0,215.38231569981716,0.19379585224063695,0.8062041477593631,1.7083173911802287,0.7918286969189279,-1457.558431144817
59,-214.79351333765536,0.9863179764814821,0.18267628987911633,3.0,7.0,0.0,215.38134253760535,0.0196570008644478,0.9803429991355522,0.5435575788500061,1.0014770618903701,-1455.3399563737512
60,-216.09625314698033,0.899275806087797,0.12831397245528595,3.0,15.0,0.0,218.06159107351297,0.01882478304943,0.98117521695057,1.2117233524781004,0.9038857220629394,-1463.193867468056
61,-212.56851365537236,0.9427634664276853,0.16148718527119207,3.0,11.0,0.0,213.206102698316,0.6579912096519334,0.34200879034806664,1.0286097321833774,0.8652217774922851,-1456.5084917502215
62,-215.57229553535734,0.967618844295622,0.16686800712275793,4.0,15.0,0.0,216.953647691332,0.018315590835395877,0.9816844091646041,2.5314279696927158,1.0387670003826974,-1454.8969931760762
63,-217.3433794412316,0.7298494104753421,0.18267628987911633,3.0,13.0,0.0,218.3412403584915,0.013527742836807783,0.9864722571631922,0.08401849323173335,0.8701901336784903,-1470.8766929808849
64,-214.27614443068924,0.9959207247940569,0.12831397245528595,4.0,15.0,0.0,216.31068758503437,0.03716279111640402,0.962837208883596,1.667017261647771,1.0198847161583442,-1453.864458978532
65,-212.55755791636486,0.9628886297274594,0.16148718527119207,4.0,15.0,0.0,213.76900093718479,0.8442135234134189,0.15578647658658107,1.170356139647852,0.5081311495277256,-1452.8767223158925
66,-215.3611035001272,0.9694699996920559,0.16686800712275793,2.0,3.0,0.0,215.6775258117199,0.02295767123131461,0.9770423287686854,2.517594914929614,1.0297118397231557,-1455.042327311719
67,-216.90619598624048,0.8630066126002273,0.18267628987911633,3.0,15.0,0.0,220.277733524713,0.014921087524335247,0.9850789124756647,-0.6492847873927368,1.2405227168388286,-1467.4912974738886
68,-213.12943813048955,0.9986928634649977,0.12831397245528595,4.0,15.0,0.0,214.79699015190337,0.2556322280976422,0.7443677719023578,1.7994978631898955,0.7819666069702964,-1457.4603410004943
69,-214.07312866405036,0.8834357541288561,0.16148718527119207,3.0,15.0,0.0,214.75269893962474,0.9529904393469862,0.04700956065301376,1.1810281563251803,0.0745086106362775,-1456.103188369107
70,-212.2787025480099,0.9566278121756997,0.16686800712275793,4.0,23.0,0.0,215.98667613905633,0.7137676480587456,0.2862323519412544,1.1301726700885535,0.6815978488182292,-1453.8947344073265
71,-215.11446790859102,1.0,0.18267628987911633,2.0,3.0,0.0,216.87174980627336,0.01680044974148036,0.9831995502585197,-0.7823516033183892,1.004101308627643,-1456.2144849296574
72,-212.85066108211726,0.9600883856052588,0.12831397245528595,4.0,15.0,0.0,214.49402532779575,0.10407842182046576,0.8959215781795342,0.10032679318090901,1.1699383180236416,-1452.7409686388864
73,-213.58210091841906,0.979744259058993,0.16148718527119207,4.0,23.0,0.0,215.55622019869259,0.1144777644807814,0.8855222355192186,1.524979754206947,0.8883994842569592,-1456.871813103338
74,-212.45477010928167,0.9929779629060946,0.16686800712275793,4.0,15.0,0.0,213.14381186332812,0.44434751702625214,0.5556524829737479,1.5412093677720407,0.6956488227132045,-1455.4543862621217
75,-212.7062446535347,0.9482902123798367,0.18267628987911633,4.0,27.0,0.0,215.8530086870596,0.1713428604596656,0.8286571395403344,0.5642701383124241,1.0760609854638785,-1454.56374027156
76,-215.08789285510196,0.9436717779598354,0.12831397245528595,4.0,15.0,0.0,216.6771862901146,0.13894052407827234,0.8610594759217276,-0.5371237157809066,1.2959653442594827,-1469.4079514513296
77,-212.2691781263486,0.9983719331761877,0.16148718527119207,4.0,23.0,0.0,213.89811553364584,0.6710912305805087,0.3289087694194913,1.1858619686227805,0.5712516260803225,-1454.3710815020102
78,-216.07224603680766,0.4740502096973948,0.16686800712275793,3.0,15.0,0.0,217.87620130744642,0.708740330259487,0.291259669740513,0.8131967159751754,0.8195933085040297,-1480.5240757033814
79,-212.6900754685879,0.9990553832337314,0.18267628987911633,4.0,15.0,0.0,213.07788779075196,0.36880089628946283,0.6311991037105371,0.3791810703851071,1.3916438235055317,-1457.3456188456926
80,-217.14817963156054,0.8361177623058458,0.12831397245528595,2.0,3.0,0.0,218.2400272390459,0.11153191283988718,0.8884680871601128,-0.613498903490859,1.4026768550186615,-1482.013947437742
81,-213.05299118719725,0.8461046442631112,0.16148718527119207,4.0,15.0,0.0,214.9162828132067,0.18750315610959925,0.8124968438904008,1.1010507675972654,0.9376862186145735,-1456.914267362132
82,-214.06317558354192,0.9291645500494733,0.16686800712275793,2.0,3.0,0.0,217.66247261498964,0.6677558966103763,0.33224410338962374,0.95119088267239,0.7408764729257061,-1467.039707517428
83,-214.02340738238152,0.942586686031249,0.18267628987911633,4.0,15.0,0.0,215.01581365875006,0.8782072433321146,0.12179275666788536,1.0243983183602152,0.00011730288606871808,-1462.074250146578
84,-214.1475881030168,1.0,0.12831397245528595,2.0,3.0,0.0,217.45165462750032,0.07872454242144915,0.9212754575785509,-0.4655275696828356,1.2439407713834072,-1459.6313375688705
85,-213.5500594295775,0.95137792159113,0.16148718527119207,3.0,11.0,0.0,214.904950137517,0.08921828496371877,0.9107817150362812,0.49258877759430186,1.0084400073248905,-1456.7246250308133
86,-215.6533455624974,0.9128808278667314,0.16686800712275793,4.0,19.0,0.0,217.21810583757625,0.24912959521945696,0.750870404780543,1.7277295301365538,0.5743837308379466,-1475.2386648971672
87,-215.8334294063594,0.9003931470489365,0.18267628987911633,3.0,15.0,0.0,216.23609945929965,0.9752179487684876,0.024782051231512447,0.9222101639547713,-0.2377106918588477,-1464.4256563525207
88,-213.81109361886953,0.9884962754304744,0.12831397245528595,2.0,7.0,0.0,215.51674117550516,0.0661617233942369,0.9338382766057631,-0.2774290460508525,1.2139053165323663,-1456.3839555404313
89,-212.62128593414278,0.84513459510748,0.16148718527119207,3.0,15.0,0.0,215.3859308379835,0.45303985273304237,0.5469601472669576,0.9989776210753326,0.9320913288646457,-1457.4865423653746
90,-213.55061725520775,1.0,0.16686800712275793,1.0,1.0,0.0,214.96337034174772,0.2978149732226927,0.7021850267773073,1.7325239885066384,0.6632267893939057,-1461.37422561063
91,-214.1197200471114,0.9598145477288517,0.18267628987911633,2.0,3.0,0.0,215.9650411688179,0.9599615793421152,0.040038420657884766,1.170478065241075,-0.1835560776659402,-1455.363724890203
92,-212.3474865757532,0.999446659534145,0.12831397245528595,4.0,17.0,0.0,214.14541363258445,0.24467456124378184,0.7553254387562182,0.6892113419988125,1.2103868596559353,-1453.5060177935493
93,-213.61098434114976,0.9065140857522015,0.16148718527119207,4.0,19.0,0.0,214.801588016204,0.9206084907047389,0.07939150929526106,0.9633430703248611,1.8008129661533556,-1453.8996407961943
94,-213.55924991967078,0.9924275905243483,0.16686800712275793,3.0,11.0,0.0,215.5640786493061,0.18562439237279385,0.8143756076272062,1.9522102851252008,0.9214743011056651,-1458.1397998507625
95,-214.84036086690529,0.9518727230583547,0.18267628987911633,3.0,7.0,0.0,215.50511914070822,0.982954584879253,0.017045415120746976,1.1171574511928761,-0.055867300757258195,-1454.7380269962257
96,-212.17858004611696,0.9822405014778842,0.12831397245528595,3.0,15.0,0.0,212.8762339901383,0.4708777171905663,0.5291222828094337,0.8185796809930277,1.1595875466038794,-1454.3384046859167
97,-215.2691608910626,0.9974512914122221,0.16148718527119207,2.0,7.0,0.0,216.00122107161258,0.9836495951107437,0.01635040488925632,1.0597520253109318,1.9034728177489748,-1454.3994647044224
98,-214.50924865078346,0.9846248052070337,0.16686800712275793,3.0,7.0,0.0,214.58162345467454,0.18993361086717012,0.8100663891328299,2.078366611573884,0.7543104296061963,-1464.626863078531
99,-216.19825517106906,0.9320445517872805,0.18267628987911633,3.0,11.0,0.0,217.17400473365913,0.9960339430563262,0.003966056943673801,1.0686433499039996,0.1649255070718343,-1454.2078513351678
100,-212.0545012587415,1.0,0.12831397245528595,3.0,7.0,0.0,212.17789158548567,0.4581787996541791,0.5418212003458209,0.8583244216036868,1.2001517808940605,-1453.3160750643624
101,-213.18838540124503,0.8700696229258601,0.16148718527119207,4.0,15.0,0.0,216.25589871122645,0.7465503315296181,0.25344966847038186,1.0752567020305197,1.3465910998931405,-1458.5885363461416
102,-214.37311309226442,0.941966626041897,0.16686800712275793,2.0,3.0,0.0,215.117402135807,0.2106208641063557,0.7893791358936443,2.094348474798413,0.7922891075950602,-1464.113629584617
103,-214.27257736963256,0.9604601366056582,0.18267628987911633,3.0,11.0,0.0,217.91227289818505,0.9758659912902772,0.02413400870972282,1.0739631477435057,-0.2533221205774192,-1453.1970360812877
104,-213.05077882632497,0.842302362980396,0.12831397245528595,3.0,15.0,0.0,214.55160785088626,0.45539883538501463,0.5446011646149853,1.4296208146016778,0.9395570940214139,-1459.5442596225612
105,-212.5098362505942,0.8978439029061612,0.16148718527119207,3.0,11.0,0.0,215.82822453799892,0.6892944543658786,0.31070554563412145,0.9285169038650978,1.1193811480186056,-1455.49474348224
106,-212.73226867920178,0.989609110179629,0.16686800712275793,4.0,15.0,0.0,214.9788168397126,0.1844689274752272,0.8155310725247729,1.545083162034363,0.9032858825693955,-1453.6519794372805
