draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,gamma.1,gamma.2,nu.1,nu.2,mu.1,mu.2,log_prob_data
0,-412.9356612989841,0.9581974577720342,0.14763308084387175,4.0,15.0,0.0,414.1886258904404,0.3622256803105418,0.6377743196894582,0.9988233459487722,0.001176654051227799,0.6024012005125394,0.903589013197934,-1.2900149324093644,-0.6517164661195635,-2792.9133291489293
1,-406.1255272472398,0.9061045316319484,0.12152810673938115,4.0,15.0,0.0,410.0218988502757,0.10454294048161097,0.895457059518389,0.5739812132690717,0.4260187867309283,0.42998554199344435,0.4657962893038549,-0.5584629228533129,-0.8114258921317501,-2778.1402954730956
2,-408.833650833925,0.8819403831547427,0.1408622771501794,5.0,31.0,0.0,412.98605416867053,0.09440416388484976,0.9055958361151503,0.03321499401947184,0.9667850059805282,1.4416700314528323,0.5054135368611294,-0.7959410000929672,-0.7960153756253587,-2780.272430939369
3,-407.18368811106745,0.9004743541526679,0.11564723672224476,5.0,47.0,0.0,413.57207409408477,0.8473892873788963,0.1526107126211037,0.9501426905101745,0.049857309489825474,0.45595509405328505,0.4273885139037754,-0.6998843195497333,-0.7835979372077719,-2776.2385367936745
4,-409.18487295457123,0.9900762869365035,0.14763308084387175,4.0,15.0,0.0,415.18785864423944,0.158725736158018,0.841274263841982,0.9938592479555104,0.006140752044489606,0.4888295745431383,0.5156283249729895,-0.9680640113001375,-0.6394142693513865,-2775.8202352491567
5,-409.14986887121336,0.9606130665951165,0.12152810673938115,4.0,19.0,0.0,411.04532299066915,0.13081534605228484,0.8691846539477152,0.10206190141515037,0.8979380985848496,1.28124696038621,0.4543296641458845,0.5410449802794463,-0.9620586824065096,-2792.132531812114
6,-409.0822232302844,0.8166766527763382,0.1408622771501794,4.0,31.0,0.0,410.5159734994555,0.05712706986456137,0.9428729301354386,0.06458303589166922,0.9354169641083308,1.2984496187669456,0.3650302264627742,-0.7492747689151418,-0.6594046268749275,-2783.8421299250185
7,-407.6138789834996,0.9582740899165471,0.11564723672224476,4.0,15.0,0.0,411.5028961637986,0.8967861179134702,0.10321388208652982,0.9380488950314857,0.0619511049685143,0.4185416706238519,0.4462706576461638,-0.7064127931907646,-0.9283390426339456,-2778.103892751189
8,-409.4072013142349,0.9591963256985082,0.14763308084387175,5.0,59.0,0.0,413.5388727219144,0.8892870641964882,0.11071293580351182,0.02026813336730257,0.9797318666326974,0.21617398038687258,0.3888006526735698,-0.6953779755889086,-0.2724889422657594,-2784.3462742369716
9,-410.8664382918678,0.9693934077806536,0.12152810673938115,5.0,47.0,0.0,413.50845594259727,0.030661453613903964,0.9693385463860961,0.2103427245991847,0.7896572754008153,1.3866487672523522,0.2694648201374673,0.997824833250486,-0.8313350296003548,-2798.2978316044782
