draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,mu.1,mu.2,log_prob_data
0,-210.40367956716392,0.9942018327027726,0.16161972749715983,3.0,7.0,0.0,210.42933882970036,0.33391702728706757,0.6660829727129325,-0.03302575787870036,0.2475215107930397,-1442.9795205856233
1,-210.65566240864726,0.938586920329842,0.2008375603064597,4.0,19.0,0.0,212.52999981296222,0.8600076821653169,0.13999231783468313,0.0387165193490165,0.6051196798124363,-1440.2167018652824
2,-211.58578734209712,0.9673711873098657,0.1852741777442341,4.0,31.0,0.0,211.92795722468483,0.0724227479804361,0.9275772520195639,1.2971406544898842,0.0026930951264023256,-1441.4761828790622
3,-209.70076816705068,0.904133107974888,0.14967993034184277,3.0,11.0,0.0,211.06054686097102,0.6148329732158095,0.38516702678419046,-0.12991280043122055,0.3512075457952021,-1438.4900061749913
4,-212.0254008400516,0.9769835270545755,0.16161972749715983,4.0,15.0,0.0,214.61223176435462,0.046622966199800664,0.9533770338001993,0.47713878075658395,0.1343423872614093,-1442.9007668858128
5,-210.3886632854838,0.9973477870930064,0.2008375603064597,4.0,31.0,0.0,211.3896277043638,0.8425799389057985,0.15742006109420148,0.0978476193439389,0.05603265750083329,-1439.3478975991252
6,-211.4053302832835,0.999670657450187,0.1852741777442341,2.0,7.0,0.0,211.78606344561595,0.10285268000370461,0.8971473199962954,1.2142190592462212,-0.06825616780399318,-1442.598095292267
7,-210.6042551173862,0.986815891824514,0.14967993034184277,4.0,31.0,0.0,211.57501489532945,0.3256551443540382,0.6743448556459618,-0.6205936154086761,0.2853432256387334,-1443.928124150404
8,-211.63043303835423,0.9875875827213956,0.16161972749715983,4.0,31.0,0.0,213.10659533735307,0.5807891638872851,0.4192108361127149,-0.4391411538571566,0.3778605959207899,-1451.842517545297
9,-210.28056457123202,0.7951156868387113,0.2008375603064597,3.0,7.0,0.0,211.92182741633644,0.828753353267506,0.171246646732494,-0.006606042435816084,0.2237018927561111,-1439.0361568381043
10,-210.49095535604079,0.8211067618449309,0.1852741777442341,3.0,11.0,0.0,212.71738940889276,0.18664233005434186,0.8133576699456582,0.6393560718760902,0.005493147110511187,-1440.6448925072557
11,-210.6935297836694,0.9241236327388429,0.14967993034184277,3.0,15.0,0.0,212.36775997175903,0.4534874294269932,0.5465125705730067,-0.38452497465334345,0.5393625471076973,-1445.4042570943038
12,-209.8286018597249,0.7984909793256466,0.16161972749715983,4.0,15.0,0.0,213.8377042150137,0.35218932309817946,0.6478106769018206,0.17157952738919807,0.0440583902871195,-1439.2096476103893
13,-210.01030358956282,0.9884877360909208,0.2008375603064597,3.0,11.0,0.0,212.6411558746454,0.599167567373312,0.400832432626688,0.1998988796882159,-0.3228152216486263,-1440.7218972779735
14,-211.47265998052322,0.4713445114136464,0.1852741777442341,3.0,7.0,0.0,213.78179637028327,0.36494144039978044,0.6350585596002196,0.7155184062181106,-0.38777155786394585,-1450.1299506443033
15,-210.1572751269319,0.9950603492351239,0.14967993034184277,4.0,15.0,0.0,211.3408235681814,0.7782564296260363,0.22174357037396375,0.24760596693774317,-0.4936016738020563,-1439.3152482852713
16,-210.63864996850654,0.9441844895089844,0.16161972749715983,4.0,27.0,0.0,212.5566156587009,0.10525454778881912,0.8947454522111808,-0.24110752752998954,0.10218670047051548,-1438.6608430450844
17,-209.70012218039417,0.9973074510660294,0.2008375603064597,3.0,11.0,0.0,211.53009333212498,0.5515118684619913,0.4484881315380087,-0.18434326974929233,0.3780201689188178,-1438.7545018477779
18,-210.98487675999456,1.0,0.1852741777442341,1.0,1.0,0.0,211.37643254909256,0.381685911012668,0.618314088987332,0.6953564470267841,-0.34112191800321534,-1446.9396960860774
19,-211.23194428258589,0.8940524274092274,0.14967993034184277,2.0,7.0,0.0,212.54799232304944,0.8639263587649573,0.13607364123504273,0.27108125502904,-0.5015734742567095,-1444.069590304148
20,-210.66406226858942,0.9998539448776828,0.16161972749715983,3.0,7.0,0.0,210.68265173729122,0.10251643491488978,0.8974835650851102,-0.2575397059358212,0.10593697122113158,-1438.66766437945
21,-210.76352527992037,0.9827866289235936,0.2008375603064597,4.0,27.0,0.0,211.3581975737357,0.8896291851806669,0.11037081481933309,0.1346914451428607,-0.11926562687230384,-1439.8429737318963
22,-212.61777437860556,0.9158544149484737,0.1852741777442341,4.0,15.0,0.0,214.063583905484,0.025481065685033895,0.9745189343149661,0.4733839851861546,-0.04697852056951307,-1442.9876365380082
23,-211.39689987149225,0.9266785185164522,0.14967993034184277,3.0,11.0,0.0,213.63756549802923,0.5269406837700512,0.4730593162299488,0.4547514507599552,-0.044585418190946385,-1450.501504116962
24,-211.62688047483448,0.8697721504186696,0.16161972749715983,4.0,23.0,0.0,212.0447380352961,0.26926155265747187,0.7307384473425281,-0.4901231991960069,0.043521345027320975,-1450.427208671406
25,-210.55748471326447,0.9796812684476248,0.2008375603064597,2.0,3.0,0.0,210.92908678832072,0.8814381127366803,0.11856188726331973,0.09252055129209935,-0.07513273239569633,-1438.8660028021636
26,-213.278530666123,0.766860321494423,0.1852741777442341,4.0,15.0,0.0,215.0851230397574,0.020321099281298285,0.9796789007187017,0.2795362860271809,-0.06968988919115607,-1446.1491368075667
27,-209.70960122094755,0.8886128723896546,0.14967993034184277,2.0,3.0,0.0,212.58857906049684,0.4377567826542732,0.5622432173457268,0.33676644646888365,-0.19474055951299832,-1438.8078623677914
28,-210.81043786294805,0.925791946436354,0.16161972749715983,2.0,3.0,0.0,212.64762078412562,0.2608641499418489,0.7391358500581511,-0.44741474599542075,0.08239123243165998,-1444.6778383770697
29,-211.65549195824613,0.9852276985306277,0.2008375603064597,3.0,7.0,0.0,212.067831385305,0.9593324845734563,0.04066751542654368,0.03524045291028305,-0.3832845027800885,-1439.5287447512756
30,-209.66202950607791,1.0,0.1852741777442341,3.0,11.0,0.0,214.59926881659175,0.4681432408114986,0.5318567591885014,0.2786620033593933,-0.16882590500198533,-1438.5980490987974
31,-210.51691995893955,0.8814611646964274,0.14967993034184277,3.0,11.0,0.0,211.34061391365307,0.3171690985612799,0.6828309014387202,0.5517677423532237,-0.2756225434975761,-1443.3032089373326
32,-209.9198435538251,0.9458448605295489,0.16161972749715983,2.0,7.0,0.0,211.66050065512695,0.2680945280889249,0.7319054719110751,-0.38623582138359724,0.23037610166777206,-1438.6508551515983
33,-211.13132551978376,0.9979480017124104,0.2008375603064597,3.0,7.0,0.0,211.8758986435183,0.9326302907151103,0.06736970928488972,0.07026567086265507,-0.5851042884568726,-1439.0277850807558
34,-210.48473921750852,0.9652556256923289,0.1852741777442341,3.0,15.0,0.0,210.80580716076878,0.13249072591221384,0.8675092740877861,0.46992596392476493,-0.033112137994554466,-1438.8413991293012
35,-209.79765918340422,0.5288296623063092,0.14967993034184277,3.0,9.0,0.0,214.58466223010666,0.45945012202625396,0.5405498779737461,0.14063410353204375,-0.09292884417624277,-1439.5845876180435
36,-209.64579679994165,0.9971675431477611,0.16161972749715983,3.0,15.0,0.0,210.82665456329795,0.5123452193819397,0.48765478061806034,-0.11937273435126373,0.2756254853513149,-1438.523563426158
37,-209.7838830233536,0.9935837623177831,0.2008375603064597,4.0,15.0,0.0,211.32715049568506,0.6534568833139268,0.3465431166860732,0.12268070148319032,-0.1267601943625681,-1438.8492723654542
38,-211.59081433542642,0.9032348581819456,0.1852741777442341,2.0,7.0,0.0,214.23172966478816,0.38363818625041735,0.6163618137495827,0.7972809054820865,-0.21552910547833276,-1451.0677629730683
39,-210.31554755911165,0.9788045631382679,0.14967993034184277,4.0,15.0,0.0,211.2701124818654,0.5598497311019098,0.44015026889809017,0.422690049988095,-0.19166413849109554,-1442.9464687122454
40,-210.41931486978473,0.9852288578058075,0.16161972749715983,3.0,15.0,0.0,211.92473938184233,0.27620075930858096,0.7237992406914191,-0.5603518572680015,0.3455335251285962,-1442.0303384688862
41,-210.6413641897666,0.9980481923147626,0.2008375603064597,4.0,23.0,0.0,212.09692804867228,0.74082525776955,0.25917474223045,0.34528120248541183,-0.6505580124931691,-1443.1911343034537
42,-209.916396805697,1.0,0.1852741777442341,3.0,15.0,0.0,212.08235813488162,0.2690103629177411,0.7309896370822588,0.40388077829054414,-0.09416496911126182,-1438.6680865513104
43,-210.73025433442737,0.9935923283791833,0.14967993034184277,4.0,23.0,0.0,211.5227984908651,0.09456969661623033,0.9054303033837696,-0.2909628029693283,0.09422593130578333,-1438.614633273474
44,-211.05927296076828,0.9178988576439692,0.16161972749715983,3.0,11.0,0.0,213.08726136673778,0.1852619191487762,0.8147380808512238,0.46143765087780275,0.10450612770692824,-1444.6908328061988
45,-209.70610575461592,0.9995114462325912,0.2008375603064597,3.0,15.0,0.0,212.06925371778945,0.4486050623693901,0.55139493763061,0.37786672648112246,-0.20043637647247062,-1438.7909242443625
46,-210.97734270888617,0.9914342535634729,0.1852741777442341,2.0,7.0,0.0,211.92243725214826,0.0929358442012458,0.9070641557987542,0.4444155982780872,0.07929908026655735,-1440.118324534669
47,-210.34431121156015,0.878890028515601,0.14967993034184277,4.0,31.0,0.0,213.0806586520833,0.7969695522003003,0.2030304477996997,0.014909071626326383,0.5237707710115037,-1440.1885955996759
48,-210.08137879292502,1.0,0.16161972749715983,4.0,15.0,0.0,211.12890922070923,0.7470473356989612,0.2529526643010388,-0.029904975114777077,0.14915720453170608,-1439.6612096497815
49,-210.49869570392516,0.8089166973550016,0.2008375603064597,2.0,3.0,0.0,210.74907603917296,0.5045947100923928,0.49540528990760724,0.41910993184103396,-0.08341245600034009,-1444.339032107097
50,-210.9075906017973,0.9896251242343883,0.1852741777442341,3.0,7.0,0.0,211.24615347043664,0.07983743717957378,0.9201625628204262,0.3479843122739219,0.04364757793435439,-1438.7558914552556
51,-209.65697394918485,0.9439807360856725,0.14967993034184277,3.0,15.0,0.0,211.49114181198138,0.4826998674038829,0.5173001325961171,-0.21238860918169283,0.30522962856428115,-1438.5552162022368
52,-209.98503386540688,0.9817512192322654,0.16161972749715983,3.0,15.0,0.0,211.55959975717414,0.761663051535585,0.238336948464415,0.16983830453777243,-0.20907011738639825,-1438.675729874774
53,-211.34145492670893,0.9353588652696937,0.2008375603064597,3.0,15.0,0.0,212.46082221020376,0.06017499028893328,0.9398250097110668,0.15344609641300921,0.10489344814339041,-1440.0222777389295
54,-210.85576906177948,0.997623486115441,0.1852741777442341,4.0,15.0,0.0,210.99794910889187,0.9166785673170222,0.08332143268297776,0.0949935391929769,-0.232640325951713,-1438.7184506119688
55,-209.70980757308905,0.988896390791598,0.14967993034184277,4.0,15.0,0.0,210.16506375810184,0.5853180717271851,0.4146819282728149,0.04688825323521724,0.06482576931517951,-1438.8382039176524
56,-211.1017249333829,0.8880814968353882,0.16161972749715983,4.0,19.0,0.0,211.68386023480463,0.10742342750980412,0.8925765724901958,0.6279983895472573,-0.0985336166055227,-1441.6940738097578
57,-209.81718802266982,0.8833435135931387,0.2008375603064597,4.0,23.0,0.0,213.09215225431018,0.48660247178588667,0.5133975282141133,-0.27693745631039396,0.4017505803355298,-1439.5790543773526
58,-210.96135572947867,0.9889464100768166,0.1852741777442341,3.0,7.0,0.0,211.00629182552808,0.9170895698418382,0.0829104301581618,0.1264879350547562,-0.21904851543834725,-1439.4160335078595
59,-210.49675555635957,0.9020526049681032,0.14967993034184277,2.0,7.0,0.0,213.03071088382688,0.5723735781776805,0.42762642182231947,-0.3260135463888057,0.3325129675171132,-1444.150381953312
60,-212.7511872269393,0.9843705885978822,0.16161972749715983,4.0,15.0,0.0,213.03777756025752,0.026279834864683216,0.9737201651353168,0.23263755994014973,-0.05332986108139618,-1444.2629877426332
61,-209.94482581917669,0.9979884093317565,0.2008375603064597,3.0,15.0,0.0,210.29483426437648,0.723862724149742,0.27613727585025805,-0.1082498171524666,0.5226742080503984,-1438.8799112050185
62,-210.82717698332686,0.9785596581036036,0.1852741777442341,4.0,15.0,0.0,211.71062652150138,0.18472955182715475,0.8152704481728452,0.18503197934692361,-0.08777999914722744,-1443.229272746893
63,-210.87219317748253,0.9472853450262964,0.14967993034184277,2.0,7.0,0.0,211.71395641502608,0.31282447190675067,0.6871755280932493,-0.2830244204600824,0.3915599187942189,-1445.832808785319
64,-210.63433883277222,0.9869934272673272,0.16161972749715983,4.0,15.0,0.0,213.56870631768476,0.870193029442771,0.129806970557229,-0.002918159583122304,0.10636784273488692,-1439.936622706991
65,-209.95684004118365,0.943003816668397,0.2008375603064597,2.0,3.0,0.0,210.3423943700021,0.7486865072184995,0.2513134927815005,-0.06503228527872598,0.4716092801208795,-1438.5954398210001
66,-211.2095676498465,0.8730559638907106,0.1852741777442341,4.0,15.0,0.0,212.2251661744786,0.9030582884052631,0.09694171159473686,-0.09499583617598929,0.9754635868728697,-1441.3299749130183
67,-210.28949838910683,0.9930524064592414,0.14967993034184277,3.0,15.0,0.0,211.68366008867847,0.5107979920297314,0.4892020079702686,-0.03241523236138051,-0.03347848764369178,-1443.047112912557
68,-210.18071241552911,0.9361457344414437,0.16161972749715983,2.0,7.0,0.0,211.90615260352467,0.7215909029051347,0.2784090970948653,-0.03182435648571577,0.0670272520883426,-1440.7854969466887
69,-209.66077806256612,0.9952632483100505,0.2008375603064597,4.0,15.0,0.0,210.23716865144138,0.5379208599523978,0.4620791400476022,-0.04029844495150915,0.1703010283206003,-1438.642871413323
