draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,gamma.1,gamma.2,nu.1,nu.2,mu.1,mu.2,log_prob_data
0,-422.5124146001546,0.87850959809758,0.14796939719803615,2.0,3.0,0.0,423.5467874382421,0.987685569446272,0.01231443055372805,0.9794017247923488,0.02059827520765123,-0.2735195253089773,-1.9671895503975982,-0.4607974782863279,-1.6058328857616704,-2855.373963894523
1,-420.57249862452534,0.8917981354967175,0.1305546478835697,2.0,3.0,0.0,421.04922379798296,0.4634534692674716,0.5365465307325283,0.9868133347515753,0.013186665248424712,-0.2431346478076856,-1.3440191604992813,-0.9963145528167036,-0.44347821259615816,-2862.968715022136
2,-422.567986626875,0.6648426868457822,0.13618132476298292,3.0,15.0,0.0,427.2804376655464,0.6828205939572681,0.31717940604273187,0.9740925406022952,0.02590745939770478,-0.42336667505556197,-0.28697806729773495,-0.17345229971268886,-0.6383062510277999,-2882.4081146628396
3,-417.7434308506657,0.929270379777866,0.13086112507799763,4.0,15.0,0.0,420.59730636644656,0.902228355004485,0.09777164499551505,0.3357032650149924,0.6642967349850075,-0.8447832894895893,-0.1188511687167371,-0.6457222511293764,-0.33858520347241927,-2857.444405382091
4,-424.48248200063404,0.7212450396237896,0.14796939719803615,5.0,63.0,0.0,427.38625300724607,0.9134368977523595,0.08656310224764052,0.9491224465206317,0.05087755347936829,-0.46468186387710325,-1.068227825895477,-0.43257696518503447,-2.6898991360550832,-2886.1778876847907
5,-424.6667240864151,0.6725912509621995,0.1305546478835697,4.0,19.0,0.0,428.2761213697763,0.04044565656824385,0.9595543434317562,0.9933278057939199,0.006672194206080118,-0.13651383238857243,-1.6891242029718272,-1.970182079480561,-0.3743311211718229,-2870.4448359472594
6,-417.76165750947905,1.0,0.13618132476298292,4.0,15.0,0.0,423.48316175056635,0.7091631960469953,0.2908368039530047,0.893950275110129,0.10604972488987097,-0.20228349931443343,-0.49366394514392387,-0.31632541371449857,-0.8199509029701988,-2857.703247592258
7,-417.76238433103634,0.9805710635887509,0.13086112507799763,5.0,31.0,0.0,419.3590891932029,0.7932953134417423,0.2067046865582577,0.37250571895315915,0.6274942810468409,-0.7715662570760018,0.0707382778130122,-0.5682364477716414,-0.09331111612516713,-2862.465661227184
8,-424.527380952708,0.9012688890076868,0.14796939719803615,3.0,7.0,0.0,427.8776942504676,0.9331387723313721,0.0668612276686279,0.9717730070049801,0.02822699299501985,-0.21381115650509627,-1.018721264250351,-0.6610408463961667,-2.6952212747181186,-2880.9404475384463
9,-425.1562043526008,0.9482915830867691,0.1305546478835697,4.0,15.0,0.0,427.5235909073911,0.042737990931502726,0.9572620090684972,0.8973283634407901,0.10267163655920986,-0.3348760458075241,-2.036304502241093,-2.0700131700387554,-0.3165212139803805,-2890.8598649750616
10,-417.61057416730944,0.9960450309375819,0.13618132476298292,4.0,15.0,0.0,418.79668212296724,0.6042392059897346,0.3957607940102654,0.7650439991702785,0.23495600082972146,-0.2279845266135926,-0.9688891478577717,-0.56848013738196,-0.763080961655547,-2861.3762703858656
11,-417.6719310553813,0.9422527204365079,0.13086112507799763,3.0,7.0,0.0,419.56394549439096,0.806059870426328,0.19394012957367202,0.5913992585849532,0.40860074141504676,-0.503118338859879,-0.05225960094450026,-0.8368010681692984,-0.06527660409472949,-2861.7158636622585
12,-423.07606910143835,1.0,0.14796939719803615,3.0,15.0,0.0,428.1425069982899,0.9878285633007914,0.012171436699208615,0.973152185473807,0.026847814526193003,-0.37963230932878816,-0.5791599904857224,-0.4131484913649467,-2.886548528123801,-2859.034073298755
13,-424.20470102003384,0.9869115753065321,0.1305546478835697,3.0,7.0,0.0,427.5353890610009,0.09799838612211476,0.9020016138778852,0.9755824303015245,0.024417569698475527,-0.1681706525124724,-1.9294492792208893,-1.8202086377467332,-0.6634885468535148,-2881.249116560973
14,-417.6867921725089,0.9771015435237217,0.13618132476298292,4.0,15.0,0.0,419.42024703199945,0.4260770097189259,0.5739229902810741,0.6829767734929899,0.3170232265070101,-0.14539856375954868,-0.8677807433474579,-0.19026291646352467,-0.5930191278169146,-2863.976513007175
15,-418.2257880249915,0.9690527415368799,0.13086112507799763,4.0,27.0,0.0,422.2830320205333,0.5799266640745743,0.42007333592542573,0.4844888631005714,0.5155111368994286,-0.3492201371065606,-0.577087599453786,-0.7048321779871138,-0.095196972976083,-2868.833918469133
16,-420.93181429709296,1.0,0.14796939719803615,4.0,15.0,0.0,423.5182296120797,0.9780588467845746,0.021941153215425446,0.9295616684436339,0.07043833155636614,-0.3181743090241118,-0.5209262413002761,-0.4206588147774927,-2.7770467606751055,-2855.192748065986
17,-420.84934507615293,0.9530729475771006,0.1305546478835697,3.0,15.0,0.0,426.09439369173685,0.12661667981193575,0.8733833201880643,0.9862326468061309,0.013767353193869125,-0.32011085775185577,-1.479687699570255,-1.7300385107461496,-0.49205156286900026,-2857.4424878924583
18,-418.3288608423731,0.969329479892316,0.13618132476298292,4.0,15.0,0.0,419.29837857971535,0.4756460958170153,0.5243539041829848,0.894127780460774,0.10587221953922599,-0.20005624698574487,-0.88761118883116,-0.3047584953883261,-1.0301911626553095,-2862.124826890281
