draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,gamma.1,gamma.2,nu.1,nu.2,mu.1,mu.2,log_prob_data
0,-409.7790914172541,0.9981883533518813,0.13106186241703108,4.0,31.0,0.0,417.0712512688239,0.8343875871671358,0.1656124128328642,0.38960697965663993,0.6103930203433601,-0.6862258006682875,-0.8602820095561985,-1.9267674902761436,-1.4120601484115591,-2801.0878083438142
1,-410.9948674920265,0.9547335005114226,0.13797332363236853,5.0,47.0,0.0,412.73791454784424,0.9252410172539642,0.07475898274603576,0.08637891850484747,0.9136210814951525,-0.4998877250849581,-0.8305470992557937,-1.819142458038465,-0.8399058792208416,-2798.7808568931327
2,-408.5221951149361,0.9921177231439667,0.15255185617043013,4.0,15.0,0.0,410.7469816086947,0.6768050230417071,0.3231949769582929,0.3254605857082165,0.6745394142917835,-0.9505328769515656,-0.8693021955459027,-1.6614442193678092,-2.18078440141009,-2793.0759491601902
3,-408.3610381470212,0.9940386690924046,0.1477785994099423,4.0,15.0,0.0,409.7446606537956,0.594200447240355,0.40579955275964497,0.42671074266620357,0.5732892573337964,-1.19558408765271,-0.7905274841359541,-1.611508314847754,-1.9889724460122253,-2793.873910522805
4,-410.5419078452553,0.9990120892802082,0.13106186241703108,3.0,15.0,0.0,411.76298413400815,0.8593218716528327,0.1406781283471673,0.7081763263322827,0.29182367366771733,-1.0930900100212917,-0.9837726951375172,-1.6804091612265806,-1.8427261342633323,-2803.198792128156
5,-414.1803283429982,0.8888929307105621,0.13797332363236853,5.0,39.0,0.0,416.58748822770445,0.07263117325998363,0.9273688267400164,0.024179154053324724,0.9758208459466753,1.950016530739571,-1.0431184051585412,-1.5007462063925385,-1.8331225420691792,-2807.470056824025
6,-409.1754936036309,0.9455623157567435,0.15255185617043013,4.0,15.0,0.0,410.00169542066516,0.10737021912925729,0.8926297808707427,0.43397022316197115,0.5660297768380289,-1.0153211653101606,-0.7322580544276218,-1.6495136804693113,-1.8338313872415613,-2793.9810617187013
7,-408.9616764765721,0.8540108824625917,0.1477785994099423,4.0,15.0,0.0,410.66119399435036,0.6573218041762878,0.3426781958237122,0.3305158907359584,0.6694841092640416,-1.1695720306692017,-0.7208248641114563,-1.5862627954736768,-1.8657626275530252,-2797.4832851764727
8,-409.85493525209904,0.9544430186892108,0.13106186241703108,5.0,31.0,0.0,412.09283786624894,0.305885114512021,0.6941148854879791,0.06324458644480324,0.9367554135551968,-0.7536288674128787,-0.8534623835627931,-2.0258522109738437,-1.72236248227295,-2793.726418061942
9,-414.6423503936805,0.6737046493057989,0.13797332363236853,3.0,7.0,0.0,416.6517462647618,0.09241893674717394,0.9075810632528261,0.005448722574617512,0.9945512774253825,2.034574500118829,-0.8638835708166861,-1.6691792360883908,-1.6372368721006394,-2802.1451271265437
10,-410.0273831335925,0.46768180015387806,0.15255185617043013,4.0,31.0,0.0,414.0825242877098,0.8920916507189469,0.10790834928105308,0.5384419641397445,0.46155803586025546,-0.7828543853535048,-1.223434260673922,-1.758785947406592,-0.9333299518110361,-2801.3381950037206
11,-409.4576663908649,0.8316385090775478,0.1477785994099423,4.0,23.0,0.0,411.7614754411522,0.6034759111883098,0.3965240888116902,0.5989086480421892,0.40109135195781076,-1.1861829386013654,-0.789640564861227,-1.897562654140298,-1.7626051264263607,-2801.1578065111753
12,-408.8979105408092,0.9545215791633811,0.13106186241703108,4.0,31.0,0.0,410.92735696974324,0.6572621441022484,0.34273785589775163,0.8884918582379097,0.11150814176209034,-0.9626112047979335,-0.6563515143706913,-1.623157601090401,-1.939987279193601,-2791.604271343854
13,-413.0536844525672,0.9838345741661165,0.13797332363236853,3.0,15.0,0.0,415.5528185301717,0.6806531860644217,0.3193468139355783,0.024770627526942132,0.9752293724730579,2.1454414814947356,-1.008390352452888,-1.6205412599124898,-1.9928523843631678,-2806.4631422344282
14,-410.4970660693638,0.8844070593443887,0.15255185617043013,4.0,31.0,0.0,413.00470434126714,0.9572129202926364,0.04278707970736362,0.8002063676956889,0.19979363230431113,-0.9928170133112124,-0.5301351387343933,-1.7501788034619203,-0.353343212746229,-2797.03040384234
