draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,gamma.1,gamma.2,nu.1,nu.2,mu.1,mu.2,log_prob_data
0,-422.9025737395673,0.9288817656680234,0.13684817524717136,5.0,63.0,0.0,425.2523783514204,0.9534245679938382,0.046575432006161765,0.716107251076619,0.283892748923381,0.031018643986172906,0.41691448535375064,0.004612598544334365,0.9107451065063283,-2887.9223508214177
1,-422.4503818405971,1.0,0.11567436399858164,3.0,7.0,0.0,425.57622031643217,0.4330193232021695,0.5669806767978305,0.19788188479922103,0.802118115200779,-0.8341921843614872,0.3511660806351887,0.18500603893878545,-0.08164472551894432,-2895.025617651318
2,-422.84707844553,0.8983421302870017,0.13029595485773016,5.0,31.0,0.0,429.2972472374352,0.4003008702476199,0.5996991297523802,0.9330593848281743,0.0669406151718257,0.254558877717033,-1.2559733142477838,0.5513605668885319,-0.20396131868337952,-2890.1943994096387
3,-422.55501269663245,0.9186494335673526,0.13654881912275205,4.0,31.0,0.0,425.314358480447,0.3768797103388714,0.6231202896611285,0.04043086903339419,0.9595691309666058,-0.47385302068613,0.1977449250498882,0.40396425711823253,0.06872642105118575,-2886.079437833344
4,-420.6838432286852,0.9991855305105307,0.13684817524717136,5.0,47.0,0.0,423.3985972605027,0.4092711837708461,0.590728816229154,0.31121136437064745,0.6887886356293526,0.28411601969037026,0.036890263072296134,-0.11169474925453746,0.45650970267166974,-2885.2733204847164
5,-422.6689701112974,0.6477168623486538,0.11567436399858164,2.0,3.0,0.0,426.5928424937163,0.5244212170495123,0.4755787829504877,0.23656353142928724,0.7634364685707128,-0.8450260359166293,0.15451113107710562,0.1927031281502732,0.02789483751595455,-2897.6088279159403
6,-422.2039508136167,0.9413918583385382,0.13029595485773016,5.0,31.0,0.0,426.85790371660255,0.24948967868969898,0.750510321310301,0.8051542007048038,0.1948457992951962,0.21511890415603863,-0.6808126762691882,0.8794702318562914,-0.17470947396137704,-2890.979314998259
7,-423.1388211016265,0.9517562532573001,0.13654881912275205,4.0,27.0,0.0,425.9408129436174,0.7122851784543333,0.28771482154566674,0.026782928675258187,0.9732170713247418,-1.0939661179088846,0.1205014734664095,0.3916413683614562,-0.14073600493958044,-2885.6012110328684
8,-422.06019048343586,0.9417048463631639,0.13684817524717136,4.0,15.0,0.0,423.7086266528959,0.506572501772362,0.493427498227638,0.5978539621258402,0.4021460378741598,0.2016351225526224,0.04633169243937578,0.5350573898563927,-0.44482972323281594,-2895.610156021356
9,-420.57784374086384,0.997142077331105,0.11567436399858164,4.0,31.0,0.0,423.5223948005007,0.30168847120567116,0.6983115287943289,0.43398562605468655,0.5660143739453134,-0.09946692516643385,0.10761227219009283,0.20626031044597457,0.11591990476625194,-2884.725797687614
10,-420.8620149813726,0.9041781450367112,0.13029595485773016,4.0,15.0,0.0,423.5550740907585,0.13124541649900606,0.868754583500994,0.4757618748192421,0.524238125180758,0.24239701728459423,-0.10555506756920108,0.4995675639009798,0.06747043165245728,-2882.3402238404306
11,-424.99331871476704,0.8707535859829865,0.13654881912275205,4.0,31.0,0.0,429.0990634662327,0.991305935990288,0.008694064009711955,0.17365133022198068,0.8263486697780194,-0.46792606805946624,0.134082448883196,0.0867674095085281,-1.735450693555155,-2886.688735123796
12,-423.8107023457529,0.8718570019591599,0.13684817524717136,4.0,15.0,0.0,426.87667189748663,0.973724112342849,0.026275887657151054,0.5909451077500986,0.40905489224990144,-0.39102069169485554,0.4970536529341314,0.19998392504704637,-0.13643244138765065,-2892.054101640014
