draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,gamma.1,gamma.2,nu.1,nu.2,mu.1,mu.2,log_prob_data
0,-411.69553587417266,0.998437527204034,0.1561688010514578,3.0,7.0,0.0,418.5127403707408,0.21313814856128455,0.7868618514387155,0.14214281853504457,0.8578571814649554,0.7983729345242805,0.06961683493253634,-0.4404613920178346,0.2227483539545566,-2816.2575946585266
1,-411.58489827730256,0.9438187763170629,0.17433156462820298,4.0,15.0,0.0,413.210961986957,0.15533777535050375,0.8446622246494963,0.0924234201414232,0.9075765798585768,1.0003232728187337,0.008707111457113115,0.11851577393551609,0.15579152336294752,-2811.081268366175
2,-410.83339406628056,0.9730330282485694,0.11939575064939824,4.0,31.0,0.0,414.1097485585517,0.4979402357587941,0.5020597642412059,0.6117558770773635,0.38824412292263655,0.013192658309715458,0.2590616200367458,-0.1911492624846354,0.5282023406052755,-2818.099496789959
3,-412.03540582270637,0.9624548675308063,0.13148801768081522,4.0,15.0,0.0,416.4598418307201,0.27135751931130647,0.7286424806886935,0.2591753289138763,0.7408246710861237,0.2937333706105353,0.24927682992405858,0.657327539545493,0.1317516982671641,-2823.1273401102962
4,-411.58402659330477,0.9777787334170326,0.1561688010514578,5.0,31.0,0.0,413.1293764409916,0.8701410567590104,0.12985894324098957,0.1946861613028778,0.8053138386971221,0.5675871650335926,-0.006581938902936516,0.25613299708650844,-0.5539716081282596,-2814.660869053369
5,-412.3837780795664,0.8171647431544307,0.17433156462820298,4.0,15.0,0.0,413.7714285049655,0.25675253874634824,0.7432474612536517,0.1273110411512746,0.8726889588487254,1.0861912505725888,0.19368496540061417,0.16046965611580818,0.10402282113259459,-2820.9433308350112
6,-409.71279092989533,0.9711319155324888,0.11939575064939824,3.0,15.0,0.0,412.6841636324505,0.5221710815815167,0.4778289184184833,0.323851633737218,0.6761483662627821,-0.08591682388911707,0.3172598843864302,0.2515057732528268,0.07848958123823395,-2809.9611075272487
7,-412.5570228896955,0.9584286613941431,0.13148801768081522,4.0,31.0,0.0,415.19183452075066,0.032928206029875506,0.9670717939701245,0.3096166320269718,0.6903833679730282,0.13339085138874818,0.03554904929082099,0.7388901225031049,0.0894707082562526,-2814.879595238765
8,-413.9051583450411,0.9141823073462599,0.1561688010514578,4.0,15.0,0.0,415.43165753218,0.987810506265651,0.012189493734348966,0.44352843144261395,0.556471568557386,0.5128153963959291,0.005699934053988061,0.04964705456164766,-0.21687989087938833,-2818.6923846675986
9,-413.3999823558751,0.958183362964401,0.17433156462820298,4.0,15.0,0.0,414.0975101001332,0.3318660735084947,0.6681339264915054,0.12258844712863048,0.8774115528713695,1.1494832702552458,-0.17322018939322315,0.017258193809155546,0.27707591504421486,-2828.6252241803345
10,-412.2739706371453,0.9414119913396457,0.11939575064939824,4.0,15.0,0.0,413.1380275983562,0.5695515728030806,0.43044842719691945,0.9214111153424128,0.07858888465758718,0.11626614704560433,0.21868454954604413,0.38589252325720236,0.1909289823449456,-2819.8280764635474
11,-414.2692639660167,0.9157204390322783,0.13148801768081522,3.0,7.0,0.0,414.65895403583676,0.026666551311845112,0.9733334486881549,0.37857021811967495,0.621429781880325,0.3620146295501919,0.29041515046986927,0.8681050649119434,0.22294232544747336,-2825.57216115454
12,-418.14969779336263,0.8235966728698665,0.1561688010514578,3.0,15.0,0.0,421.78476611254354,0.9954561547741232,0.004543845225876808,0.06545277341424013,0.9345472265857598,0.6934411435026431,0.06425746611697425,0.36921263490137884,-0.4766445839727525,-2831.15027204296
13,-413.4377254385384,0.9306315230098278,0.17433156462820298,4.0,23.0,0.0,416.74153368947367,0.3865655285752333,0.6134344714247667,0.06321917075973046,0.9367808292402695,-1.3101465989616583,0.3723811323410553,0.17576208767981188,0.0806241731835915,-2824.8268290075016
14,-411.4113040227469,0.7792378345742376,0.11939575064939824,4.0,15.0,0.0,414.64198228087537,0.19938463180135563,0.8006153681986443,0.1371922218658577,0.8628077781341423,-0.03269773126337862,0.10082645593639727,-0.29485478809967336,0.24361451204818055,-2814.3768867536382
15,-413.5867541456366,0.946741948323681,0.13148801768081522,3.0,15.0,0.0,418.9915538273195,0.011649636492140687,0.9883503635078593,0.43071538103842943,0.5692846189615706,0.46682635290690133,-0.1569168907764042,1.1311788479854554,0.0656397542045569,-2815.0903633838693
16,-410.0445047236541,0.9603888287978157,0.1561688010514578,4.0,15.0,0.0,419.5925241508187,0.5632516637237475,0.43674833627625254,0.32854016095800653,0.6714598390419935,0.11747692385860206,0.21569255900359044,0.28431344727493585,-0.10556658655859633,-2812.2275993715534
17,-412.14889838782943,0.9972093450233305,0.17433156462820298,3.0,15.0,0.0,414.6210877931981,0.4408349510181158,0.5591650489818842,0.1318149109664366,0.8681850890335634,-0.947666159734682,0.17798799658415668,0.3405568662170547,0.008564934953474275,-2821.4731326242268
18,-410.8854173729534,0.7748133802861614,0.11939575064939824,3.0,15.0,0.0,415.385160749216,0.39318046483902636,0.6068195351609736,0.14362144546438788,0.8563785545356122,0.2959281800452027,0.2023757982038576,-0.13091530795942583,0.27270765431820276,-2813.731020038867
19,-412.8207337879776,0.988485439435887,0.13148801768081522,4.0,31.0,0.0,416.06671151425496,0.141897043501261,0.858102956498739,0.11783417116274149,0.8821658288372585,-0.6069329201894009,0.31600828102056344,1.0467201623580442,-0.000491144101617793,-2820.130572891158
20,-410.85735239069925,0.9028735014061018,0.1561688010514578,2.0,7.0,0.0,412.68856643280367,0.5221556980006603,0.4778443019993397,0.11253889847402634,0.8874611015259737,0.20547961532436743,0.1994311947627795,0.3853523792060518,-0.02590202247348511,-2812.3982737634965
21,-412.0674338575868,0.959459227384853,0.17433156462820298,3.0,15.0,0.0,416.3870576111434,0.9107286519573322,0.08927134804266779,0.26497163591610573,0.7350283640838943,0.18589133712846523,0.1435944935401583,0.06567184093903472,-0.30261078753268655,-2817.6940156795818
22,-413.4664939326222,0.9495810206327123,0.11939575064939824,4.0,23.0,0.0,416.4621984637534,0.2695405008498365,0.7304594991501635,0.6493805318229461,0.3506194681770539,0.27697977074854374,-0.3259828664874958,0.7976753356894175,0.18421351362087893,-2833.9406946742483
23,-411.9114703691545,0.9766018692712257,0.13148801768081522,4.0,31.0,0.0,415.1459629061974,0.23674595193628747,0.7632540480637126,0.19320170962146424,0.8067982903785358,-0.5124085668001191,0.4041617385694751,0.6807455794671949,-0.02369811654409233,-2819.9570863739855
24,-410.6916087640809,0.9317205483444567,0.1561688010514578,4.0,15.0,0.0,412.1976463888881,0.3201304904539126,0.6798695095460874,0.655777071633467,0.344222928366533,0.23828667102866075,-0.2634316447396317,-0.17439474144033962,0.3119228061897603,-2815.922896848597
25,-412.6582175195979,0.9536234503516064,0.17433156462820298,4.0,15.0,0.0,415.2624419499533,0.9066935113949713,0.09330648860502866,0.8306938724043245,0.16930612759567554,-0.030151162407409775,0.8259865751893186,0.295179461647524,0.22673428045170688,-2819.221734889242
26,-410.57718650977046,0.9329228121343974,0.11939575064939824,4.0,23.0,0.0,417.1895869440888,0.22317342277787458,0.7768265772221254,0.447949133237274,0.552050866762726,0.22790227098887927,0.1711149555995712,-0.3599156938775189,0.3019599388306006,-2814.149795806368
27,-412.61278003359837,0.9494536406408306,0.13148801768081522,4.0,31.0,0.0,414.83149995959775,0.040431381584378756,0.9595686184156212,0.35135347936238215,0.6486465206376179,0.37810720442526435,0.2298535232431362,0.10976447480793948,0.13320887552938376,-2817.3717226956715
28,-410.4685854940704,0.97253777030766,0.1561688010514578,3.0,11.0,0.0,413.29637950535454,0.7828344291194042,0.21716557088059585,0.40149255928002786,0.5985074407199722,0.5297199722640717,-0.007733741744178735,0.14823693114951011,0.4550728303633901,-2812.886701421621
29,-414.45679254400255,0.6493736040700309,0.17433156462820298,3.0,15.0,0.0,417.31122656873987,0.8868282868606255,0.11317171313937446,0.9427492282514387,0.0572507717485613,-0.08560411448754132,1.0726316494973747,0.1234806802803432,0.6970274842241849,-2825.487433173754
