draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,mu.1,mu.2,log_prob_data
0,-207.39357011688338,0.9920564257594663,0.15729865094802079,2.0,7.0,0.0,207.61592106238012,0.6550075906378128,0.3449924093621872,-1.675196344007743,-1.8181606539641741,-1417.0723217332697
1,-209.81892624419447,0.9923448002648914,0.1596093574081358,4.0,15.0,0.0,210.68321231214665,0.0873039607100915,0.9126960392899085,-3.0389673564936994,-1.6291855141564127,-1421.6368868714349
2,-208.76617338597353,0.9663045307580042,0.15245778116360903,3.0,7.0,0.0,209.166096114678,0.7949285085479912,0.20507149145200876,-1.9968626933854425,-1.4934229346068602,-1424.2068044322834
3,-207.54739075267278,0.9981474438056315,0.1675477323182468,4.0,15.0,0.0,208.03810372788277,0.4212215830745439,0.5787784169254562,-1.4783727896039391,-2.0455577025850684,-1418.4365511707683
4,-207.71144173192448,0.9682912603693948,0.15729865094802079,2.0,3.0,0.0,207.81667008329418,0.6802523649510658,0.3197476350489342,-1.6416955009983312,-1.7932570160441297,-1419.1780147649374
5,-209.96960912791852,0.9052083775708116,0.1596093574081358,2.0,7.0,0.0,211.32401861925996,0.029226944103088542,0.9707730558969114,-2.8277150547766983,-1.7432892498147192,-1416.2825833348995
6,-207.41419370617547,0.9673538941101275,0.15245778116360903,4.0,23.0,0.0,209.58275649201943,0.32972228727658237,0.6702777127234176,-1.9778043840061876,-1.6249977862367542,-1416.6810325611268
7,-209.66047228513796,0.6333757507994627,0.1675477323182468,3.0,7.0,0.0,211.4783672554053,0.6843452690728067,0.3156547309271933,-1.3387833420776922,-2.265339326108624,-1431.7190457518866
8,-207.57337164914267,0.954674885081124,0.15729865094802079,2.0,7.0,0.0,208.7331426101803,0.7639693502907152,0.23603064970928478,-1.6947227468373682,-1.977359289008057,-1416.176842705478
9,-211.62541665619867,0.8855278739404108,0.1596093574081358,3.0,15.0,0.0,213.71532150117247,0.005152924704912714,0.9948470752950873,-2.569590222683362,-1.7171679173979884,-1417.1821357886474
10,-207.37708971847107,0.9169884062817346,0.15245778116360903,3.0,11.0,0.0,208.90167544321648,0.6931099843075827,0.30689001569241725,-1.6949632726830823,-1.864976184576903,-1416.3342126842049
11,-209.42020022081982,0.9957688154411108,0.1675477323182468,3.0,7.0,0.0,210.15514789610333,0.7180994916090253,0.2819005083909747,-1.385051683460209,-2.2913506026009856,-1429.3994879879308
12,-207.9541832633192,0.8867603524531636,0.15729865094802079,4.0,15.0,0.0,209.2214322783958,0.4809682477189292,0.5190317522810708,-1.4863817107691188,-1.8204249750244241,-1422.141228290839
13,-212.33421889320783,0.5895531683955759,0.1596093574081358,2.0,7.0,0.0,215.5367769297716,0.011519956501027245,0.9884800434989728,-2.315862762108685,-1.5993392236327004,-1428.9991791472414
14,-207.28834686438813,0.9704409693847537,0.15245778116360903,4.0,15.0,0.0,207.6365291542232,0.45403483607854084,0.5459651639214591,-1.5038996230890431,-1.9519051985828495,-1417.0196810315367
15,-209.00715851787965,0.9041170958963608,0.1675477323182468,2.0,3.0,0.0,210.60926954277295,0.62989986063437,0.37010013936563,-1.3782125486242554,-2.3768569673942617,-1427.193134023242
