draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,mu.1,mu.2,log_prob_data
0,-209.82053607670352,0.9848563205658127,0.13396100016667895,3.0,15.0,0.0,209.9288545582249,0.4796962139220302,0.5203037860779698,-2.0813958957333782,-2.160349028972882,-1432.0306986463643
1,-210.38861451649558,0.9494603968746089,0.12493595444521503,4.0,27.0,0.0,211.78122036843212,0.8588806140301363,0.14111938596986373,-2.1645235329356343,-1.67054427104062,-1432.2806095881167
2,-210.96063288192352,0.9625128453277654,0.12515707966716727,2.0,7.0,0.0,214.2582895909337,0.9245198681292093,0.07548013187079072,-2.1350273287437482,-1.7979850107653932,-1432.146079430272
3,-210.55055381891222,0.9527910993310359,0.11273919760376422,4.0,31.0,0.0,211.2579994919037,0.9003507312291357,0.09964926877086433,-2.2226215734066357,-1.575430080933797,-1431.3679289141817
4,-210.3168628986427,0.9415108916782171,0.13396100016667895,3.0,15.0,0.0,210.4388965406665,0.38419983843525984,0.6158001615647402,-2.325768156799107,-1.8888471453349212,-1435.109093205737
5,-210.49415829231052,0.9852040952457777,0.12493595444521503,4.0,15.0,0.0,211.1386663500808,0.7717469674290084,0.2282530325709916,-2.2725577226099825,-1.3184398160329531,-1436.0871551523135
6,-210.1423362325238,0.9929562325589618,0.12515707966716727,3.0,15.0,0.0,212.05448760712625,0.8503784106145862,0.1496215893854138,-2.261887291336215,-1.3799429355101438,-1431.3080965046586
7,-210.24320968942817,0.5840589601182143,0.11273919760376422,2.0,7.0,0.0,214.16959809012025,0.796983369444585,0.20301663055541497,-2.2166048920697468,-1.488786799128429,-1433.570548797543
8,-210.06132782298786,0.9960191350385327,0.13396100016667895,3.0,15.0,0.0,210.66922030325816,0.42557779414157076,0.5744222058584292,-2.160344595642526,-2.203598518392016,-1433.098541061541
9,-210.9031614715737,0.9993358266208304,0.12493595444521503,5.0,31.0,0.0,210.9885877610464,0.9293942278456765,0.07060577215432351,-2.1438846731636647,-1.5677541895268803,-1431.9606346911025
10,-210.3193312187264,0.9732084113634814,0.12515707966716727,3.0,7.0,0.0,210.4334567817592,0.8576592346325826,0.14234076536741735,-2.298488563184519,-1.4480905570169502,-1431.9344921721693
11,-210.17380173356887,0.9995019616531352,0.11273919760376422,5.0,47.0,0.0,211.04246032646986,0.2915626801844007,0.7084373198155993,-2.0810577974376154,-2.224487308535699,-1432.9220603552358
12,-210.12118473669904,0.9972577887321373,0.13396100016667895,4.0,15.0,0.0,210.35291280589024,0.6115242585071164,0.38847574149288355,-2.0250519331048378,-2.145588726400068,-1434.0210609921032
13,-211.8690069662216,0.9081881240640602,0.12493595444521503,3.0,7.0,0.0,212.5289054040903,0.8957961510327255,0.10420384896727453,-2.044856244665807,-1.5611741236753214,-1441.4428181855558
14,-211.74210923099372,0.8735852305924428,0.12515707966716727,5.0,31.0,0.0,213.7596059027045,0.8189204323801512,0.18107956761984878,-2.0868141167961216,-2.891305896162452,-1438.5000876888855
15,-210.00983957606928,0.9991779530329868,0.11273919760376422,4.0,31.0,0.0,210.94853556977247,0.7570129733085609,0.24298702669143912,-2.276303618621146,-1.548183347873488,-1432.4571624111743
16,-212.121414124468,0.9835076877542742,0.13396100016667895,3.0,7.0,0.0,214.4290735564937,0.5353882176802369,0.4646117823197631,-2.683623788199681,-1.5444650382332248,-1447.3936844049415
17,-213.48251323555388,0.8952850893041943,0.12493595444521503,3.0,15.0,0.0,214.96213645173395,0.89748565078865,0.10251434921135005,-2.4700570695283663,-1.2596785884680168,-1451.5653422137327
18,-211.04963349904386,0.7718799416860562,0.12515707966716727,3.0,7.0,0.0,215.03898463157117,0.4955492074345228,0.5044507925654772,-2.0329439416125616,-2.487206801508141,-1439.3922987956742
19,-210.81640134686478,0.9031469661708772,0.11273919760376422,4.0,27.0,0.0,211.5234113099445,0.42068003794892,0.57931996205108,-2.296775813853898,-2.2076011492203156,-1437.7527808302536
20,-211.12274961283072,0.8328345194743352,0.13396100016667895,3.0,15.0,0.0,215.07041006869122,0.9134066153128451,0.08659338468715494,-2.286861413539141,-1.528063331353468,-1434.3266828615715
21,-211.53199090792378,0.9567342150847297,0.12493595444521503,2.0,3.0,0.0,214.34821898764093,0.8326967326647211,0.1673032673352789,-2.153221456127391,-1.127312392281043,-1442.4951309414614
22,-211.29956415474092,0.7857002808811231,0.12515707966716727,3.0,7.0,0.0,214.460734571865,0.5652330797806323,0.4347669202193677,-2.0227708866995555,-1.9410066416744616,-1443.1248054850512
23,-210.90500403291279,0.9649728943400634,0.11273919760376422,2.0,7.0,0.0,211.96956969730311,0.5518557512965873,0.44814424870341274,-2.2602205308780796,-2.240522567142003,-1438.48358704148
24,-212.91445389156067,0.5278917841002783,0.13396100016667895,4.0,27.0,0.0,214.11113567396825,0.11997474760697731,0.8800252523930227,-1.9469160321161,-2.365270710899969,-1447.1267343025638
25,-213.06423023405094,0.9727858708915026,0.12493595444521503,4.0,31.0,0.0,214.1897576682895,0.017364993898751492,0.9826350061012485,-2.0539873812027527,-2.2273900086953335,-1435.74859535542
26,-211.55312836858525,0.914639101736361,0.12515707966716727,2.0,7.0,0.0,213.11838477888796,0.5989969904479776,0.4010030095520224,-2.272427238151168,-2.2969709613596585,-1442.4901895455753
27,-210.8707769397905,1.0,0.11273919760376422,3.0,13.0,0.0,211.22136053674592,0.32894575644170254,0.6710542435582975,-1.907893133375251,-2.066218770397327,-1439.3782562820318
28,-211.73748165859334,1.0,0.13396100016667895,2.0,3.0,0.0,212.81121724388962,0.13624864091228164,0.8637513590877184,-1.9614621068342788,-2.3144110874893182,-1439.90265010564
29,-210.04342190801378,0.6296427389883377,0.12493595444521503,4.0,15.0,0.0,215.36141832396135,0.743176909934809,0.256823090065191,-2.2846610584842626,-1.5362447570557733,-1432.9431485890577
30,-210.01452668770716,0.9556699523150378,0.12515707966716727,2.0,7.0,0.0,212.96681129855762,0.3612285230314834,0.6387714769685167,-2.245723089152921,-2.1224569712858927,-1432.354568248814
31,-210.3775962072896,0.9924744904328203,0.11273919760376422,3.0,9.0,0.0,211.26170948800532,0.26613618824783175,0.7338638117521683,-1.8000625250233497,-2.363395174257699,-1434.3344887186686
32,-209.96932193710367,0.9313957265796612,0.13396100016667895,2.0,7.0,0.0,213.52817418501976,0.35448057858773574,0.6455194214122643,-1.8844111247944109,-2.337575893519182,-1432.4447160844832
33,-211.09907486397537,0.9201775825169451,0.12493595444521503,4.0,23.0,0.0,211.9877174351564,0.9611771914733351,0.038822808526664865,-2.1522356649346763,-0.5277446662864687,-1431.2654929170305
34,-210.42257715247203,0.9584414182718098,0.12515707966716727,4.0,23.0,0.0,210.7242194122095,0.8080285242161658,0.19197147578383422,-2.1822686473467425,-1.5082694029476935,-1434.5982238486126
35,-211.5148179127888,0.9723704489703324,0.11273919760376422,3.0,7.0,0.0,212.71484424473192,0.4171361682739636,0.5828638317260364,-1.684190928654848,-2.63459655796801,-1442.8813807263064
36,-210.76246936250251,0.8947088353302982,0.13396100016667895,2.0,7.0,0.0,210.9204272010754,0.4626878942263997,0.5373121057736003,-1.7774489396997688,-2.213330668989528,-1439.3228305292212
37,-211.81503758110085,0.9342180084159027,0.12493595444521503,3.0,7.0,0.0,212.46809451982182,0.9806242796301858,0.019375720369814164,-2.1178025406147705,-0.7131697462518108,-1431.4770286013725
