draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,gamma.1,gamma.2,nu.1,nu.2,mu.1,mu.2,log_prob_data
0,-414.85973592893123,0.9093912015941785,0.13070364324045577,4.0,15.0,0.0,417.31609038337854,0.7317995270343063,0.2682004729656937,0.20388990599136184,0.7961100940086382,1.7474461854935994,1.4255920035468617,0.34658186367720734,0.4471085607480535,-2837.2743797304147
1,-414.57195834924437,0.7091215479109749,0.10141321980529704,5.0,63.0,0.0,417.354192843811,0.46648020021481107,0.5335197997851889,0.13826047812844744,0.8617395218715526,0.5944166815137827,1.522996146696252,0.7646170973489614,0.3362703755929791,-2836.54827234167
2,-415.98200582785194,0.9268211037478924,0.11382771314563463,3.0,7.0,0.0,416.70143541822085,0.9128423842441584,0.08715761575584158,0.0873628374914754,0.9126371625085246,1.1344766645167519,1.4274760286389365,0.423730708172552,1.1206006827993156,-2834.4362355747853
3,-415.4868283701212,0.7645269334591691,0.11510372844451347,5.0,63.0,0.0,421.9095149066303,0.9228182763297265,0.07718172367027354,0.33222321649533226,0.6677767835046677,1.221981561558567,1.4967748734744935,0.6188920296863178,-0.6258647233027224,-2837.53749085042
4,-413.34364428635894,0.992524625581654,0.13070364324045577,3.0,15.0,0.0,416.4135443253941,0.5754071009825733,0.4245928990174267,0.4297822495446683,0.5702177504553316,1.6509350803143346,1.4457078405714554,0.4283086648025608,0.7657474855660443,-2831.0049616542738
5,-414.287611341456,0.9972958843900533,0.10141321980529704,6.0,63.0,0.0,414.92421195763234,0.361674733405272,0.638325266594728,0.07730122946731224,0.9226987705326878,0.4421451618570901,1.6260270478549645,0.5982442024271414,0.4043803021616743,-2830.5293096556434
6,-418.9482206146682,0.9561216387233414,0.11382771314563463,5.0,31.0,0.0,420.5167664080003,0.8143220065342847,0.18567799346571534,0.1076585186799576,0.8923414813200424,2.9689490269516865,1.50727268261215,0.30182328211321846,1.3013943204123242,-2853.645347091516
7,-415.881843012588,0.9930765445176132,0.11510372844451347,3.0,11.0,0.0,417.2790037850565,0.984841894715963,0.015158105284037049,0.46508197441871707,0.5349180255812829,1.296444045340576,1.6170893181846746,0.4821370121676946,-0.44213628733283994,-2830.077668241115
8,-417.0817107399691,0.8764633523629787,0.13070364324045577,4.0,15.0,0.0,417.6563727567298,0.9585016956813796,0.04149830431862045,0.6491900149461001,0.35080998505389993,1.835261903910345,1.3647185397931287,0.5142398087590107,1.156044367591057,-2842.705309428341
9,-414.69930663743827,0.7867920647571329,0.10141321980529704,4.0,31.0,0.0,418.4864761012783,0.9104041861687414,0.08959581383125859,0.1358319458449471,0.8641680541550529,0.9585264990224652,1.610934249831499,0.4729233029365914,0.6931405993877954,-2828.887570856195
10,-417.6473708373042,0.9128044674369314,0.11382771314563463,3.0,7.0,0.0,420.6473514600642,0.6933681061615136,0.30663189383848644,0.04923510569558079,0.9507648943044192,2.8054432603264687,1.3470150418502242,0.291467076510499,1.1835295708763083,-2843.5159840963274
11,-415.07227606868514,0.7862563795200664,0.11510372844451347,4.0,31.0,0.0,419.7588700539694,0.8767604858023468,0.12323951419765322,0.8005559414206121,0.19944405857938785,1.5561209204453608,1.276080082638769,0.7120535045131676,-0.3205696940337759,-2835.1499923004267
12,-421.5330915758094,0.7834944717944422,0.13070364324045577,4.0,15.0,0.0,424.86142808398046,0.9963931886559028,0.0036068113440972382,0.005421280949746753,0.9945787190502533,0.42083512463422645,1.5913433787810642,0.43643863124551074,1.2136183563728602,-2833.1127975490044
13,-414.91933312037537,0.5565865817167989,0.10141321980529704,5.0,31.0,0.0,418.4573572111831,0.1440482030941524,0.8559517969058477,0.9265992324363365,0.07340076756366354,1.5142835390979559,0.8637398593818745,0.5510020746694495,0.5528202966033035,-2829.983621616363
14,-417.62607724844753,0.97284666195846,0.11382771314563463,5.0,31.0,0.0,421.1409860931712,0.011705044763215162,0.9882949552367848,0.41564738744060375,0.5843526125593963,1.1125934817292493,1.5223259084578247,0.11060497789712677,0.5504471878250682,-2840.935785511145
15,-414.31308530081867,0.9778773646174577,0.11510372844451347,5.0,31.0,0.0,415.81151689978526,0.8227299564322827,0.17727004356771725,0.8028578700915442,0.1971421299084558,1.5779299043276205,1.3329184808535104,0.6554106939178671,-0.22324842595979016,-2831.8427517663117
16,-418.23143475360564,0.9591922379051125,0.13070364324045577,5.0,31.0,0.0,424.55367883632783,0.0072166170715544,0.9927833829284456,0.9273274077361733,0.07267259226382672,1.4192676023279776,2.173010812082005,0.7299246003227617,0.5273348397320707,-2829.7770599062655
17,-413.87745175879996,0.9899722940489953,0.10141321980529704,4.0,15.0,0.0,416.07262268357164,0.6186941371715923,0.3813058628284077,0.605724900459695,0.39427509954030504,1.787996275586408,1.2356707705080154,0.6330854246299567,0.4919457648427317,-2834.461231933908
18,-416.4546198148919,0.9819338199562997,0.11382771314563463,3.0,7.0,0.0,418.41560045671173,0.015510969329695305,0.9844890306703047,0.4715361585691376,0.5284638414308624,1.515115804594016,1.6531029471799332,0.18134751415639788,0.4441507793720693,-2833.7403255130725
19,-415.20469961326745,0.9150687869325481,0.11510372844451347,4.0,23.0,0.0,419.3346716612877,0.7836654137195427,0.21633458628045732,0.9003602717942266,0.09963972820577338,1.5474958466438868,1.316184240457039,0.5741606005803787,-0.1993522012092818,-2835.335003140085
20,-418.7699577389906,0.9360859732736843,0.13070364324045577,4.0,31.0,0.0,420.2452198642804,0.006313453510620238,0.9936865464893797,0.9298591597378003,0.07014084026219969,1.5582470885165183,1.906732347738784,0.27902793471680587,0.4405988189035104,-2833.399652429811
21,-416.5999467226407,0.8107471678478928,0.10141321980529704,3.0,7.0,0.0,418.77628080540364,0.7132331544685997,0.2867668455314003,0.249819001787095,0.750180998212905,1.8354347219471863,1.4912642146842008,0.3197685247937681,0.28476530863898913,-2850.2534645128553
22,-416.49639742331425,0.9792874174753311,0.11382771314563463,4.0,15.0,0.0,418.63806065009055,0.03391643882656144,0.9660835611734385,0.8123722539717964,0.18762774602820365,1.3921916437089297,1.644558252288455,0.03066931449603138,0.6322047755026623,-2836.093052443267
23,-414.3694005818087,0.9064139079758259,0.11510372844451347,4.0,15.0,0.0,417.10882325631275,0.8047597803143549,0.1952402196856451,0.6845772808512864,0.31542271914871356,1.5370578137610673,1.0635019491332387,0.5455372782950543,0.3023234250211149,-2835.637307045612
24,-415.9560082447094,0.9823684427716245,0.13070364324045577,4.0,15.0,0.0,420.7035214474073,0.03465556239846139,0.9653444376015387,0.19023500767181764,0.8097649923281823,1.230452205373452,1.5616036059029814,-0.006303045069657599,0.42027796813268303,-2833.366231159181
25,-415.65567606935815,0.9222410290844879,0.10141321980529704,4.0,23.0,0.0,420.131432807333,0.7171982504453426,0.2828017495546574,0.06355597096766594,0.936444029032334,1.338369142245455,1.4971800006555855,0.7376242322062943,-0.2307023123655293,-2836.7387998458744
26,-416.20398437826213,0.6419506832047925,0.11382771314563463,5.0,47.0,0.0,420.551739766486,0.20698516981039716,0.7930148301896028,0.908894786740915,0.09110521325908505,1.441157690334394,1.243546679176805,-0.029983035280164876,0.4646732844126357,-2842.027886628522
27,-415.5055240045411,0.9466416081413372,0.11510372844451347,4.0,31.0,0.0,416.5810781056778,0.9131566219492755,0.0868433780507245,0.2245282064665697,0.7754717935334303,1.7797272927311973,1.2717420894698022,0.5273749536031058,0.4014877381179655,-2836.116948497916
