draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,mu.1,mu.2,log_prob_data
0,-210.40189181336578,0.9997668392576629,0.13329292926661246,3.0,15.0,0.0,212.08188414558302,0.04147693669341069,0.9585230633065893,-1.8964142958627785,-0.3916271420317198,-1427.8896081918695
1,-209.35252638461995,1.0,0.1667597271480636,2.0,7.0,0.0,211.15311383691127,0.023327654494872983,0.976672345505127,-0.8056370560379764,-0.3805449254353797,-1419.3473459117672
2,-206.78412396408646,0.9695936951994918,0.12771469078656417,2.0,3.0,0.0,207.5582881154361,0.7251832099192573,0.27481679008074267,-0.4022162578076099,-0.22335719254293548,-1417.0892745189783
3,-206.4604848645627,0.9908745692892071,0.15679776037491205,3.0,15.0,0.0,207.20077623238404,0.5313988701980104,0.46860112980198965,-0.4239488553364076,-0.15263907758563416,-1416.3997157228932
4,-211.9221430297845,0.994734287818439,0.13329292926661246,5.0,51.0,0.0,213.06026017520412,0.01200849006981567,0.9879915099301844,-3.256165350117909,-0.36262513517540096,-1424.007202599308
5,-209.38060109601898,0.9998551109832872,0.1667597271480636,4.0,15.0,0.0,210.16540695417555,0.01606420450705752,0.9839357954929425,-0.952981802769281,-0.26389444873656764,-1416.8567162211232
6,-206.78187728725726,0.9841183718982622,0.12771469078656417,5.0,31.0,0.0,207.19397117606178,0.2723107336081065,0.7276892663918935,-0.2788445967752218,-0.3793350984330816,-1417.0256844696944
7,-206.91957806980932,0.98323881376678,0.15679776037491205,3.0,15.0,0.0,207.3434471600755,0.30592274856941076,0.6940772514305893,-0.12499429791101431,-0.4848505191351969,-1418.4291120436617
8,-211.95364784391245,0.9740019834311077,0.13329292926661246,3.0,15.0,0.0,212.5117439347297,0.007706094340662739,0.9922939056593373,-3.048822599098417,-0.3817734639842541,-1422.3070491306974
9,-207.17885168364967,0.9115881385248408,0.1667597271480636,4.0,15.0,0.0,210.56469012761187,0.14660763414908887,0.8533923658509112,-0.4669794287468011,-0.2532125622458277,-1416.5391617436653
10,-207.33712519341955,0.9733762964684515,0.12771469078656417,3.0,15.0,0.0,207.89575452300443,0.4705537987221195,0.5294462012778804,-0.7458129655149621,-0.08232462028126658,-1422.1477933321314
11,-208.38744938869937,0.978302040290853,0.15679776037491205,4.0,25.0,0.0,209.36416119664432,0.9281571827105431,0.07184281728945685,-0.2806985295711264,0.5173683929969102,-1420.4853256515432
12,-213.31013595265514,0.996175918716657,0.13329292926661246,4.0,25.0,0.0,213.67215222727023,0.0019714377171268366,0.9980285622828732,-3.35829609262852,-0.22412107513760277,-1420.6705202074525
13,-206.54657694807656,0.9779822978225989,0.1667597271480636,3.0,15.0,0.0,208.3895477586523,0.49031018007847715,0.5096898199215228,-0.3760458890799711,-0.3267919471279804,-1416.980114122728
14,-207.6189979237677,0.9885387547865011,0.12771469078656417,3.0,15.0,0.0,208.38009766263698,0.8614402733619698,0.13855972663803018,-0.46374280310330446,0.11382301674155974,-1419.301198778038
15,-208.98343725286907,0.7720719769374735,0.15679776037491205,2.0,3.0,0.0,210.11867820733806,0.9264563213930385,0.07354367860696154,-0.5018397287561609,0.433033267459891,-1424.6710117497669
16,-215.11345344369346,0.5344898321249111,0.13329292926661246,3.0,15.0,0.0,218.3334994022778,0.0019096090147319768,0.998090390985268,-3.2807762527954853,-0.1270700450992485,-1433.3815344739573
17,-206.60644246999112,0.9948442914530091,0.1667597271480636,4.0,15.0,0.0,207.47620392127664,0.4629168766131086,0.5370831233868913,-0.032151704245512405,-0.4987325674028925,-1417.3567925967857
18,-208.54045556887775,0.9000377323275727,0.12771469078656417,4.0,19.0,0.0,212.34533981546036,0.8905430954374913,0.10945690456250867,-0.44205554826339566,0.8794521401144477,-1423.6275835001672
19,-208.20318759248414,1.0,0.15679776037491205,2.0,3.0,0.0,208.83369624270284,0.9179332206429568,0.0820667793570432,-0.4566792237963929,0.42513015510918856,-1420.0180897775065
20,-213.2555100631559,0.9723992362299646,0.13329292926661246,2.0,7.0,0.0,215.86648231766134,0.0011454237867809672,0.998854576213219,-3.2999056041829826,-0.3262271479656096,-1416.8352359631972
21,-206.55170262017126,0.999983130200725,0.1667597271480636,4.0,31.0,0.0,206.7527081489475,0.6717454628108802,0.3282545371891198,-0.3406903328736441,-0.27096837601532425,-1416.2015594021575
22,-208.01370905637194,0.9939965470957252,0.12771469078656417,3.0,7.0,0.0,208.89327592964491,0.9266196124669602,0.07338038753303977,-0.371382156383924,0.6347192642727271,-1417.870645844814
23,-209.01657292134482,0.9775558870474443,0.15679776037491205,4.0,15.0,0.0,209.96369179259236,0.9786515987770537,0.021348401222946345,-0.339981070133583,0.7215662222242659,-1416.564286548281
24,-211.531883442863,0.9483653441608854,0.13329292926661246,4.0,31.0,0.0,215.168998060629,0.004856944890852451,0.9951430551091476,-2.5685382591785815,-0.24892796059644454,-1418.6267036794582
25,-207.75669469847364,0.9584049754634332,0.1667597271480636,3.0,11.0,0.0,208.22160414487894,0.865946613169157,0.134053386830843,-0.4841949386239014,0.3109688757777159,-1419.970969911677
26,-208.34729347048162,0.8008930758124514,0.12771469078656417,2.0,7.0,0.0,209.38827471789506,0.8811158884931414,0.11888411150685863,-0.48104444977797056,0.7357158967038795,-1422.9598437172297
27,-211.7545570964659,0.5349983230376497,0.15679776037491205,2.0,7.0,0.0,213.88411542545575,0.9908546824115535,0.0091453175884465,-0.1525867693411248,0.6588241432407235,-1429.8617543807545
28,-211.45202863880272,0.9574165493939194,0.13329292926661246,2.0,3.0,0.0,211.9793395948117,0.004953802504114171,0.9950461974958859,-2.593121759188879,-0.2611897782030742,-1418.0958452991445
29,-206.50258812837743,0.9954426354572,0.1667597271480636,4.0,15.0,0.0,208.61905895463016,0.3678513692793393,0.6321486307206607,-0.37514502906273395,-0.283849199014208,-1416.201862586315
