draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,mu.1,mu.2,log_prob_data
0,-206.41545887132338,0.9148574999069546,0.17704715286211825,3.0,15.0,0.0,207.5106744263949,0.7433857753108,0.25661422468920003,0.1586967853628552,-0.5912355580637785,-1414.099668541721
1,-205.1120238040363,0.9946235641665044,0.20847388307936407,4.0,15.0,0.0,206.39370884837132,0.3057223069747094,0.6942776930252905,0.21688129381268073,-0.0603457446148023,-1406.113151681192
2,-205.1343226152782,0.9866578203522758,0.18333647593951077,3.0,15.0,0.0,205.98660905570708,0.7304244907374888,0.26957550926251117,0.1741589846034864,-0.11918574681611274,-1405.7538918137363
3,-204.88276828319493,0.9845122844898453,0.17965687184034204,4.0,15.0,0.0,205.87628834586417,0.6292019580854126,0.37079804191458743,0.08992558132589311,-0.02432529055631724,-1405.2189786893148
4,-206.54483442456535,0.9403347290460717,0.17704715286211825,3.0,15.0,0.0,208.0233338835728,0.9088551891576137,0.09114481084238635,0.1633491765837896,0.14405772873279116,-1409.5138547545512
5,-206.82841589834698,0.8481114700567163,0.20847388307936407,4.0,15.0,0.0,207.55921427198612,0.834185499404683,0.165814500595317,0.29694110443720556,-0.30785708904209447,-1414.8972917277767
6,-205.87803771390975,0.9471990509655316,0.18333647593951077,3.0,13.0,0.0,207.49919913019107,0.1149022357484981,0.8850977642515019,0.4480882029859278,-0.03248912781407822,-1406.1915513482606
7,-205.7169049501614,0.9465742330835785,0.17965687184034204,3.0,15.0,0.0,206.69525252055183,0.6295435939493405,0.37045640605065955,-0.11801963337411484,0.0872743778159315,-1410.9672625391395
8,-206.45112002824538,0.8082834715863334,0.17704715286211825,3.0,11.0,0.0,209.171602094578,0.052271555416580746,0.9477284445834192,-0.2177999781237057,0.10324565534371158,-1405.3059127765762
9,-205.59837657699757,0.9971017148736975,0.20847388307936407,3.0,7.0,0.0,206.71466275371148,0.7359984803225991,0.26400151967740093,0.27541909464923425,-0.35244062318959035,-1408.7333503289187
10,-207.27943564198884,0.9586032033217408,0.18333647593951077,2.0,7.0,0.0,209.0950302055318,0.02227168015550466,0.9777283198444954,0.46831721640157636,0.0774886166936424,-1405.205331654327
11,-204.79282638956647,0.8502039937784192,0.17965687184034204,2.0,7.0,0.0,208.60199715682268,0.5306714559253336,0.4693285440746664,0.06449483040113535,0.0901814839703262,-1405.0458888018272
12,-207.5734889227181,0.9298759871813058,0.17704715286211825,4.0,15.0,0.0,208.25775496994552,0.02215147809970816,0.9778485219002918,-0.44253783889151643,0.011296195460517827,-1407.2253961335862
13,-205.81619372483934,0.9999797134465365,0.20847388307936407,3.0,7.0,0.0,206.00180720903845,0.8283373179567515,0.17166268204324853,0.20450952230583413,-0.5042672856410755,-1407.9982349478335
14,-206.3084018598535,0.9417344887368301,0.18333647593951077,3.0,7.0,0.0,207.62143554200807,0.06157650178423015,0.9384234982157699,0.5113603667644884,0.054188296480772905,-1405.2054186149428
15,-205.60638443472683,0.9836214488000784,0.17965687184034204,4.0,23.0,0.0,206.14673202508217,0.1692603871375702,0.8307396128624298,0.6554851009040635,-0.042282997234824315,-1406.3547153444085
16,-207.2711528933982,0.9661332099872126,0.17704715286211825,3.0,13.0,0.0,209.41514974246277,0.023999150017428483,0.9760008499825715,-0.1454385639929819,0.11252621962524853,-1405.8172912919774
17,-204.8549458832936,0.99442047982915,0.20847388307936407,4.0,15.0,0.0,206.99666905884027,0.5628878250874687,0.4371121749125313,0.1890517417499974,-0.09090092252864859,-1405.3635050349424
18,-206.88593924295373,0.9116761965359772,0.18333647593951077,4.0,15.0,0.0,206.93429187828423,0.06432859180453487,0.9356714081954651,0.5137787660342186,0.13645450428688616,-1409.4609684044592
19,-205.2068141487032,0.9606761355609474,0.17965687184034204,4.0,23.0,0.0,206.33671484410777,0.7761954558817364,0.22380454411826356,0.006248271852894019,0.15460642296256996,-1405.4069077074566
20,-207.67534195169216,0.9547005234870761,0.17704715286211825,4.0,19.0,0.0,208.5968437077558,0.19871606291826474,0.8012839370817353,-0.8249559535681642,0.1035009691690034,-1421.281118359375
21,-205.31259335768064,0.9587282800788,0.20847388307936407,3.0,11.0,0.0,206.7335833166406,0.5058162071817405,0.4941837928182595,-0.25799373381369295,0.37080985900774444,-1408.4958334560608
22,-206.82580766965555,0.8252835564512386,0.18333647593951077,2.0,3.0,0.0,208.11216411483647,0.11133300217812131,0.8886669978218786,0.40112225221028514,-0.11288436706116989,-1412.572680781534
23,-208.66136053699518,0.936926587893527,0.17965687184034204,4.0,15.0,0.0,209.9092467381488,0.9927858135858909,0.007214186414109092,0.13527903207437686,-0.25578266322894494,-1407.1922890093585
24,-205.55015833763406,0.9917639028196537,0.17704715286211825,3.0,15.0,0.0,208.32497871829682,0.31752924948151867,0.6824707505184813,-0.4159532589720712,0.2455659816797849,-1409.1252427841273
25,-206.4628666715993,0.6757057514048391,0.20847388307936407,2.0,5.0,0.0,207.60712990771285,0.7103366407751749,0.2896633592248251,-0.23851468042688403,0.3552049097717605,-1415.1153693777908
26,-205.0226291126483,0.9964342629574199,0.18333647593951077,2.0,7.0,0.0,208.3130469739775,0.4158270240294535,0.5841729759705465,0.3198689017239701,-0.046727041725169075,-1406.381138332556
27,-205.48681847117132,1.0,0.17965687184034204,4.0,15.0,0.0,208.88770228060454,0.7767897211209582,0.22321027887904177,0.13282406925787943,0.1410898690967209,-1407.3162805129793
28,-205.50135608528066,0.9501110411617661,0.17704715286211825,4.0,19.0,0.0,206.40649783931983,0.806771521833701,0.19322847816629896,0.15794007612994437,-0.02085733366956763,-1406.6924309797614
29,-205.69954442328248,0.9173288668211823,0.20847388307936407,3.0,7.0,0.0,207.8858928119883,0.8669320441038427,0.13306795589615728,-0.030409537435054396,0.46188074450742955,-1405.818498020315
30,-204.90485808312937,0.97718793991069,0.18333647593951077,3.0,11.0,0.0,206.3181024171167,0.6486081112628009,0.35139188873719907,0.1442144744633072,-0.044251905886439506,-1405.197917231179
31,-206.55585410254116,0.9932262585714213,0.17965687184034204,3.0,15.0,0.0,208.08567750123981,0.05898519436595694,0.941014805634043,0.05617939931737548,0.0022108058320037816,-1406.8624095912744
32,-204.84228277024147,0.9429120641020738,0.17704715286211825,2.0,7.0,0.0,206.38166655575338,0.5582107069257048,0.44178929307429515,0.1749204575031726,-0.034489244761721785,-1405.3024635110482
33,-205.05154381891373,0.9958594726234489,0.20847388307936407,3.0,15.0,0.0,206.3474832369227,0.6689674736654275,0.3310325263345725,-0.014105834434091722,0.3270817574225462,-1405.9394913196056
34,-205.92352226341828,0.9389800516865594,0.18333647593951077,4.0,15.0,0.0,206.0978331335037,0.22327256695997413,0.7767274330400259,-0.24518699996252755,0.2708455558133525,-1410.2514682423177
35,-207.58898873325842,0.9968215751731407,0.17965687184034204,3.0,7.0,0.0,207.92343989913235,0.016321087198059574,0.9836789128019404,-0.09271869700322166,0.09836815055375084,-1405.4170155671686
36,-205.22024352100965,0.987828547279306,0.17704715286211825,3.0,11.0,0.0,205.36992984355444,0.22319701661177369,0.7768029833882263,0.020427033515484548,0.11943367585630513,-1405.494298370633
37,-204.90056294395495,0.9997877996579073,0.20847388307936407,4.0,23.0,0.0,205.30835484487508,0.5115968208810467,0.48840317911895326,0.24365413775365674,-0.06859435640404918,-1405.7677214938867
38,-206.71130936810312,0.9252004901950195,0.18333647593951077,2.0,3.0,0.0,206.96698639883837,0.4372999054443553,0.5627000945556446,-0.31245421509165344,0.07754145689347189,-1418.135977053139
39,-205.42433252076432,0.97231383764081,0.17965687184034204,3.0,15.0,0.0,208.56641143458356,0.5450463667426138,0.45495363325738625,-0.24435634062343753,0.28396874114441145,-1409.2673518102863
40,-205.50537213054037,0.721576807427732,0.17704715286211825,4.0,15.0,0.0,208.39002732794287,0.75422447836058,0.24577552163941996,-0.02618649386758829,0.5654698640799122,-1407.6617834616136
41,-205.9284976277009,0.9837194803648726,0.20847388307936407,4.0,15.0,0.0,206.44664212526422,0.34377418752527783,0.6562258124747222,0.6468594681029096,-0.201062523152653,-1411.8216709312203
42,-205.56487889250477,0.9944363341373882,0.18333647593951077,4.0,15.0,0.0,206.89162848339143,0.616985104426553,0.38301489557344703,-0.21796760862136547,0.30917627279548215,-1409.9032439089906
