draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,mu.1,mu.2,log_prob_data
0,-209.0886474136601,0.9805394375680035,0.09884419044320489,3.0,15.0,0.0,210.7303849698399,0.9841153687032788,0.01588463129672124,1.5929220516659155,-0.5619729573570724,-1413.1442290070374
1,-208.40659167278244,0.9879127124126698,0.15805453151651194,3.0,11.0,0.0,208.8636945652708,0.9588800941867488,0.0411199058132512,1.4678726333615124,0.9507816096448963,-1414.6461805070285
2,-207.0723456681892,0.9945991658062586,0.19475971244980583,2.0,3.0,0.0,207.7241133219866,0.1631372002275804,0.8368627997724196,1.209452231902134,1.5845916099130544,-1413.2187871144001
3,-208.99857278317816,0.981558177912344,0.13147166968306503,4.0,15.0,0.0,209.59281799205175,0.03278111596766391,0.9672188840323361,0.934868594714825,1.6188518988151936,-1416.8531879923078
4,-208.8134602453585,0.9724411397252797,0.09884419044320489,4.0,15.0,0.0,213.24127856894083,0.8220050371228411,0.17799496287715888,1.4533279991035708,2.3570252721125935,-1422.5346653622587
5,-207.56471814375814,0.9747150430172622,0.15805453151651194,4.0,15.0,0.0,208.93352920373763,0.6211785882690913,0.37882141173090866,1.5884863049150515,1.0621094148861248,-1420.659108179043
6,-207.1583100552857,0.9602735003804719,0.19475971244980583,4.0,15.0,0.0,208.4582007129539,0.8091339047227656,0.19086609527723442,1.4073399487855542,1.7619586974225443,-1413.7045705261762
7,-207.4379003411168,0.9089178951795436,0.13147166968306503,3.0,11.0,0.0,211.0004359621642,0.43668969004095365,0.5633103099590464,1.1400692807056143,1.5883756748647557,-1419.941640585162
8,-208.49700917965478,0.9982080615537481,0.09884419044320489,4.0,15.0,0.0,210.08171995642599,0.9513055994887364,0.048694400511263614,1.4436358682960893,1.029549316255246,-1416.3101272969448
9,-206.88180419450177,1.0,0.15805453151651194,2.0,3.0,0.0,207.3995976414998,0.6418218609707302,0.35817813902926976,1.6072054818089152,1.151150725008507,-1415.5586444802511
10,-207.19857231791687,0.8770187489016078,0.19475971244980583,4.0,15.0,0.0,207.84121036389604,0.5899858451488633,0.4100141548511367,1.193404988526295,1.8618837178813745,-1417.250325978808
11,-206.65031758416572,0.9998794617500895,0.13147166968306503,3.0,11.0,0.0,207.60239621655873,0.580446301053272,0.419553698946728,1.4735073544710544,1.4380903383887573,-1414.0719378559352
12,-210.200254689645,0.9960490022271026,0.09884419044320489,4.0,21.0,0.0,211.02086727757967,0.9530503378292586,0.04694966217074137,1.6797888534934853,-0.7753197023802505,-1427.5956412427872
13,-206.74201393254486,0.9911498602339525,0.15805453151651194,3.0,15.0,0.0,207.41282211998774,0.32680799881256156,0.6731920011874384,1.7412471786487667,1.3863468216274795,-1413.3866160906919
14,-206.9802249782964,0.95923718821793,0.19475971244980583,3.0,11.0,0.0,208.29725509159564,0.7009318188753487,0.2990681811246513,1.426034014696873,1.4602562492178606,-1415.3787233565029
15,-207.44807491658113,0.9957007048305188,0.13147166968306503,4.0,23.0,0.0,208.14156633961298,0.87958499826432,0.12041500173567998,1.6226435906043468,0.639502810725775,-1414.8652023867926
16,-209.69082580084253,0.9992094473474261,0.09884419044320489,3.0,7.0,0.0,210.7877879622939,0.9496419663734013,0.05035803362659874,1.5849553408287975,-0.893559618997812,-1424.6329426687278
17,-206.89818565748106,0.821814512953667,0.15805453151651194,2.0,7.0,0.0,207.7075749281402,0.3882091533084946,0.6117908466915054,1.8516676262397445,1.3005377528643687,-1414.8505870322704
18,-206.5949723063721,0.9370272632587923,0.19475971244980583,3.0,15.0,0.0,207.45179013881759,0.35166229048098807,0.6483377095190119,1.3303588557502364,1.6087515711942555,-1413.131950313954
19,-207.60729521565338,0.9582866419395432,0.13147166968306503,2.0,3.0,0.0,207.87670000819259,0.8545369895455679,0.1454630104544321,1.5788551293196964,0.6260307047860095,-1417.2066713817283
20,-210.64315934632796,0.8250712007954389,0.09884419044320489,3.0,7.0,0.0,214.27717161867625,0.954618113995733,0.04538188600426696,1.4129970518027746,-0.8017371595841076,-1431.1083650409971
21,-206.5656838508239,0.9746749378903771,0.15805453151651194,4.0,15.0,0.0,207.496007890328,0.5973082177213886,0.40269178227861135,1.4682204020782765,1.5862135562827213,-1413.0283836961644
22,-206.5100958300607,0.9907623348423301,0.19475971244980583,3.0,11.0,0.0,206.83523168300044,0.5235260097932545,0.4764739902067455,1.4426965659531934,1.5465365811033231,-1413.0672853247409
23,-209.0932918717118,0.8571330627918614,0.13147166968306503,2.0,7.0,0.0,209.65652508665198,0.9383888651266391,0.061611134873360895,1.7046016887768174,0.6562928727753136,-1421.7938417163693
24,-207.97621229942635,0.9735377364713904,0.09884419044320489,4.0,31.0,0.0,214.07953773197775,0.5174040402397819,0.4825959597602181,1.239008897038305,1.988207239158366,-1422.3254056658309
25,-206.91055720636103,0.9875740488314894,0.15805453151651194,3.0,15.0,0.0,207.23275539155952,0.25633116025678543,0.7436688397432145,1.4002079854814409,1.6005351131635095,-1413.933409200502
26,-207.94739753930324,0.9670200750388017,0.19475971244980583,3.0,7.0,0.0,208.55035874173728,0.20964603704718476,0.7903539629528152,0.7103311589724091,1.7614159198219566,-1420.9176202309611
27,-208.55509194230012,0.9994251241028055,0.13147166968306503,4.0,23.0,0.0,209.871046842826,0.7312730738276624,0.2687269261723376,1.7330214483768407,1.4657873793106522,-1424.9599222691152
28,-207.04282600799183,0.9870955519608952,0.09884419044320489,2.0,3.0,0.0,208.19959054495828,0.5203346663372789,0.4796653336627211,1.2015869913513697,1.8545025960213544,-1416.3972437820382
29,-207.0505074080205,0.3801897943003174,0.15805453151651194,3.0,11.0,0.0,210.77379713612729,0.3303063392179774,0.6696936607820225,1.1734249324017179,1.547466807708534,-1416.5760712307556
30,-210.17443093288605,0.8319926994659604,0.19475971244980583,3.0,15.0,0.0,212.62853662943178,0.023671944914993637,0.9763280550850064,0.10172631946762051,1.3780108179185786,-1424.1605209037905
31,-207.4412377624672,0.9924013584525814,0.13147166968306503,3.0,13.0,0.0,209.40100966657405,0.8927882141750797,0.1072117858249203,1.5324573911951564,0.8835148493303469,-1414.043442584409
32,-206.63777773001334,0.99896112057717,0.09884419044320489,5.0,31.0,0.0,207.19374390099617,0.4427035090465872,0.5572964909534128,1.5989567814178864,1.358267618853886,-1413.9351003845186
33,-206.85437198100746,0.9961042269945547,0.15805453151651194,2.0,7.0,0.0,207.2882431034887,0.340656527752317,0.659343472247683,1.2188290383349076,1.5577455231533324,-1415.2054069051746
34,-209.23797920055011,0.9898466676397119,0.19475971244980583,3.0,7.0,0.0,211.17044546113834,0.010689546203300244,0.9893104537966998,0.07297499879720669,1.5090497873058897,-1411.9688279237794
35,-208.98310989698373,0.8620362713757783,0.13147166968306503,2.0,7.0,0.0,209.62566734187544,0.8166457391705668,0.18335426082943318,1.4125053457718009,0.9704017782627801,-1427.9512665100608
36,-207.15374011874323,0.991050447799818,0.09884419044320489,4.0,23.0,0.0,208.01881980355296,0.26962118513089434,0.7303788148691057,1.1871986425866141,1.7150390913219289,-1415.9859456162799
37,-206.74499824537594,0.9683918186897181,0.15805453151651194,2.0,7.0,0.0,207.33578656414628,0.3937688411075115,0.6062311588924885,1.2339386902234806,1.7242449227306937,-1414.366761264804
38,-210.02457817836577,0.9907397639350901,0.19475971244980583,3.0,15.0,0.0,211.1821883669866,0.0059349803107993405,0.9940650196892007,0.7271614836127547,1.5185740169927564,-1412.8941670598124
39,-207.24454428453973,0.9783225944187972,0.13147166968306503,2.0,7.0,0.0,210.44979551382528,0.7635501245883175,0.2364498754116825,1.5418746980868043,1.040313971615693,-1416.7826448114674
40,-207.46042641809328,0.6756849051035433,0.09884419044320489,2.0,3.0,0.0,209.5032602807745,0.24409529900848362,0.7559047009915164,1.1967687362053299,1.7248438875616146,-1417.6058921608799
41,-206.75489342736614,0.9904713472120292,0.15805453151651194,2.0,7.0,0.0,206.96107386477127,0.3975184627932338,0.6024815372067662,1.293198226019371,1.5478693745853487,-1414.8267395670628
42,-209.0372705507525,0.9964591991722814,0.19475971244980583,3.0,7.0,0.0,210.13768481067112,0.016024220939759495,0.9839757790602405,0.7723267989539397,1.5123105073503933,-1412.822575792713
43,-207.91202693135187,0.7579791997184895,0.13147166968306503,2.0,7.0,0.0,213.62295535385982,0.9211788408810394,0.0788211591189606,1.5453678220127232,1.5838933909550952,-1413.8602992731933
44,-206.71197309210365,0.9911713231266752,0.09884419044320489,5.0,31.0,0.0,212.2842027176502,0.3101803920251614,0.6898196079748387,1.4457991077799817,1.4824559791413452,-1413.5619070194193
45,-207.25204920511314,0.9838563308183481,0.15805453151651194,3.0,15.0,0.0,207.93532631458845,0.16205945613091752,0.8379405438690825,1.7535554178721742,1.4836738857896603,-1413.2985359091651
46,-209.31106589655428,0.9081913416531948,0.19475971244980583,3.0,7.0,0.0,210.88814902712926,0.014010653513886487,0.9859893464861135,0.5831563758902261,1.464213524577714,-1414.1454359804227
47,-208.00573291029934,0.9926255039306981,0.13147166968306503,4.0,23.0,0.0,208.2943291172186,0.05378148427433229,0.9462185157256677,1.0758566411804977,1.5547241057542938,-1413.1940722600466
48,-206.7244403700606,0.9420577207184696,0.09884419044320489,4.0,31.0,0.0,207.46810194354305,0.7329104294943591,0.26708957050564086,1.5328726999335056,1.391863421797353,-1413.0342872840274
