draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho.1,rho.2,gamma.1,gamma.2,nu.1,nu.2,mu.1,mu.2,log_prob_data
0,-418.75417284499895,0.9892274603711165,0.14135270509879827,4.0,15.0,0.0,420.9565297234512,0.2511483016206596,0.7488516983793404,0.10130495488167532,0.8986950451183247,0.8554367963432483,0.986312558350687,0.42929307056226984,-0.1960346129696251,-2862.890867737497
1,-419.8176522641145,0.8707547721257953,0.15799529373789892,4.0,15.0,0.0,421.87450963999703,0.9884805344511275,0.01151946554887251,0.513739266212999,0.48626073378700096,0.9231287956218068,1.3721469474995118,0.03427488447365204,0.531477211618703,-2856.895437311987
2,-424.4129177564111,0.9973879975166179,0.15481942684939737,4.0,19.0,0.0,427.6229332656974,0.6670167573227358,0.3329832426772642,0.9925503165926343,0.007449683407365737,1.1678669819232,-4.476229937470187,-0.01024376147696568,0.25847196302176034,-2868.9138681608874
3,-417.1180424095846,0.9362074279830929,0.15262331271699942,4.0,15.0,0.0,420.0874427284462,0.1253560482014626,0.8746439517985374,0.3931233988569097,0.6068766011430903,1.3533336757859984,0.8846673462298357,-0.36127874970161217,0.07342056659918307,-2853.8056884038274
4,-417.68502398648457,0.9885560884273032,0.14135270509879827,4.0,31.0,0.0,421.334301024192,0.5064094388916941,0.4935905611083059,0.05881804142523321,0.9411819585747668,0.3193136930862103,1.0660750227276472,0.17618755927690427,0.06350211356405172,-2854.598410312333
5,-421.3864989574575,0.800056208905061,0.15799529373789892,3.0,15.0,0.0,425.1565815686209,0.9831031352551289,0.016896864744871065,0.7556170233813615,0.2443829766186385,1.2294940652625066,0.7973466283894668,-0.11170458929489306,1.3069742824116208,-2867.520303881442
6,-418.953063819974,0.8148472015878057,0.15481942684939737,5.0,39.0,0.0,426.9429812693961,0.5060144447720879,0.4939855552279121,0.8979236901659444,0.10207630983405558,1.2873815756212184,0.4868232590034368,0.2689147450931409,-0.21801496279794363,-2866.2013657209336
7,-418.3252899517104,0.7926239767419799,0.15262331271699942,4.0,15.0,0.0,420.0030215380922,0.3515754821224025,0.6484245178775975,0.6544059596285846,0.3455940403714154,1.2951173374936222,0.8315844954702019,-0.5465483858347533,0.2189563040716408,-2866.862064871305
8,-417.4330641487084,0.8459846154368522,0.14135270509879827,4.0,31.0,0.0,418.7692799903822,0.5085376961280696,0.49146230387193035,0.38111528547181994,0.6188847145281801,0.5424063115149642,1.481169427985113,-0.0809546077798805,0.35430887755718676,-2861.7066505678617
9,-420.67939017469524,0.998618731776889,0.15799529373789892,3.0,7.0,0.0,422.0918351078926,0.9261165201895735,0.07388347981042653,0.6355649962941033,0.36443500370589665,1.088214500655075,0.7674786209970369,0.17878091935533638,1.1336974136860882,-2874.6513941039098
10,-418.35065799872507,0.9927157440466599,0.15481942684939737,4.0,31.0,0.0,420.2178702626455,0.4443587806821639,0.5556412193178362,0.8946938860132332,0.10530611398676681,1.0132261598693737,0.6250857161919606,0.5162448045734658,-0.20584846651465177,-2862.393943385222
11,-418.98451655490624,0.9970911238404734,0.15262331271699942,4.0,15.0,0.0,419.89560693289525,0.039049858799260165,0.9609501412007398,0.6823035608677451,0.31769643913225487,1.1515261265498407,0.4722776053540036,-0.06827077897606353,0.13428037178606428,-2859.647381923673
12,-417.3710470569204,0.9995861415320271,0.14135270509879827,4.0,15.0,0.0,418.40135731560116,0.1724555055871738,0.8275444944128262,0.319818753542566,0.6801812464574339,1.007139418086275,1.169682480467464,-0.3680243770041001,0.12116318027539376,-2856.924388071379
13,-419.1382847792319,1.0,0.15799529373789892,4.0,15.0,0.0,423.3372994424678,0.9234407528907408,0.07655924710925921,0.8767584731425505,0.12324152685744949,1.130119386157051,0.6310341705405295,-0.035995596723991455,1.2395019756766175,-2858.858682756541
14,-417.2754773531591,0.9596867964406188,0.15481942684939737,3.0,7.0,0.0,419.098251121667,0.3843724155918963,0.6156275844081037,0.8580688100055085,0.1419311899944915,1.044595506717804,0.7049625372024467,0.3980521091399295,-0.15182855654552785,-2856.4088291359085
15,-417.69597196346996,0.819273969726848,0.15262331271699942,5.0,31.0,0.0,421.37225202398645,0.8398169810182112,0.16018301898178877,0.29343644798273466,0.7065635520172653,1.2313522616726278,1.0548197781088278,0.2053785575278948,-0.5216990474064342,-2858.074235916423
16,-421.3788870086881,0.4716955945417512,0.14135270509879827,2.0,3.0,0.0,422.05134081176465,0.16437758134839672,0.8356224186516032,0.31054424058479385,0.6894557594152062,0.9946500284772555,0.7090914003965278,-0.42034338995780546,0.1908717033629449,-2884.9499430641245
17,-421.3379885575547,0.7650295647634174,0.15799529373789892,3.0,15.0,0.0,425.8057343779936,0.9144802086718524,0.08551979132814758,0.850430005951009,0.14956999404899096,1.2014130410823844,-0.45979073561829553,-0.15473831015971812,0.7216731435686995,-2876.7528745020354
18,-417.7466139219875,0.9697684132728851,0.15481942684939737,4.0,27.0,0.0,420.4089925504316,0.2545771425085401,0.7454228574914599,0.2898665205929531,0.7101334794070469,0.1363881320896337,1.3766316310492763,0.32107990615451504,-0.01313280346880967,-2861.550743615527
19,-418.496351521341,0.946929022773938,0.15262331271699942,4.0,15.0,0.0,419.05373328699176,0.8738303555804491,0.12616964441955092,0.639562710295553,0.360437289704447,1.410747940266048,0.800314198183166,0.1197816009686249,-0.48309322451552394,-2863.0168634990846
20,-417.2237960922983,0.9454630572855416,0.14135270509879827,3.0,15.0,0.0,424.9083086112577,0.4260012022587537,0.5739987977412463,0.5053849707005116,0.4946150292994884,1.11774259061794,0.8913802495581078,-0.3983521441997897,0.25019602473183616,-2860.817808096034
21,-418.46846080249475,0.9036011213387002,0.15799529373789892,4.0,15.0,0.0,426.62939737073845,0.7012665111398985,0.29873348886010154,0.867847864661263,0.13215213533873704,1.0696167358918889,1.8664491345898868,0.03525037740646528,0.13161525473417401,-2860.909468027264
22,-418.2964046808521,0.5488416159463364,0.15481942684939737,2.0,7.0,0.0,422.6441136171497,0.25311471913391687,0.7468852808660831,0.37949211512224235,0.6205078848777577,0.44402801718976154,1.196010435011017,0.22159189250999098,0.15159404250127423,-2866.5253650297022
23,-417.9759200936032,0.9604580043102954,0.15262331271699942,2.0,3.0,0.0,419.56186430518665,0.832986648518899,0.16701335148110097,0.5511498218933158,0.44885017810668415,1.1762845824542876,0.6425972159415616,0.045816881294406184,-0.426857592631746,-2862.2910931481083
24,-416.8485996118496,0.9552461979890812,0.14135270509879827,4.0,31.0,0.0,419.1338212649841,0.47115700770821045,0.5288429922917895,0.3537501467405471,0.6462498532594529,0.5948599551498785,1.4417596977360925,-0.042063160214850515,0.14639067015990112,-2857.5744545796324
25,-419.32821001802904,0.9740123208426634,0.15799529373789892,3.0,7.0,0.0,420.3074616600098,0.8501335852012154,0.1498664147987846,0.9355411899219306,0.06445881007806942,0.9018919427457763,1.791634388932289,-0.042047304915436755,0.1195141031279872,-2859.49673846201
26,-417.02102906915263,1.0,0.15481942684939737,2.0,3.0,0.0,418.32733321724686,0.2301096758837193,0.7698903241162807,0.30412586794491364,0.6958741320550863,0.582559177837725,1.3448331996962322,0.2187833028158254,0.08754471879225824,-2856.094225465451
27,-419.2799288874612,0.9556871140116878,0.15262331271699942,5.0,31.0,0.0,421.53725477650886,0.9601033073639555,0.03989669263604445,0.818122411619284,0.181877588380716,0.976183922298806,0.9816235059840379,0.14214838610374528,0.062197775756627355,-2858.912771416201
28,-418.87437728860675,0.7812670149873815,0.14135270509879827,4.0,15.0,0.0,420.0591809057822,0.4104597760763902,0.5895402239236098,0.14637210713838691,0.8536278928616131,0.6703598464252298,1.3085996337019545,-0.22818600813365947,0.24601044098826322,-2867.3492834515832
29,-418.5290893899503,0.9988769275693861,0.15799529373789892,4.0,15.0,0.0,422.81556170108433,0.3983649718253573,0.6016350281746428,0.596123287671104,0.403876712328896,0.9861450258758563,1.4051296229275727,0.6225651392222114,-0.260871353751666,-2868.4545736616983
30,-417.84981136451955,0.8659475740493784,0.15481942684939737,3.0,15.0,0.0,419.6993017848212,0.29160220957962923,0.7083977904203708,0.3332395792515464,0.6667604207484537,0.8286122234981841,0.9542657794230197,0.26733455288876595,-0.09334174122427481,-2863.6707658381415
31,-416.68989588999364,0.9626936374115062,0.15262331271699942,4.0,31.0,0.0,421.2498026178258,0.7616187024097747,0.2383812975902253,0.7426413797014904,0.25735862029850964,1.1507840202910498,0.5723512651027286,-0.032975229236483064,0.1786756620554935,-2853.719864206313
32,-417.72929670397167,0.7496500722403905,0.14135270509879827,2.0,7.0,0.0,422.5993362551543,0.3276231475575491,0.6723768524424509,0.25310534370843013,0.7468946562915699,0.5913018219096817,1.0701493820486707,-0.16474407419920448,0.3059690465559017,-2862.219672608054
33,-416.72650571530187,1.0,0.15799529373789892,4.0,15.0,0.0,419.04987628425147,0.45837119501058504,0.5416288049894149,0.7791248547398368,0.22087514526016316,1.0263097572973123,1.1793617945666368,-0.18509419430981316,0.22905600762603354,-2854.679239922518
34,-418.3681063201865,1.0,0.15481942684939737,4.0,31.0,0.0,419.07642012363317,0.21146637422074588,0.7885336257792541,0.24460265654618912,0.7553973434538108,1.1024901823069857,1.1777712954385906,0.5523087111559408,0.009617139368104245,-2863.435421820742
35,-417.56654818668324,0.9829557977724186,0.15262331271699942,5.0,31.0,0.0,418.9006930467617,0.33887503995252066,0.6611249600474793,0.142325399166101,0.857674600833899,1.003172431206765,1.0315642300204775,0.47363241250098415,-0.052979612218833586,-2857.601864058654
36,-416.8137852520979,0.970413499262811,0.14135270509879827,3.0,7.0,0.0,419.10638244387076,0.4264607976606627,0.5735392023393373,0.3379396524545332,0.6620603475454667,0.3967630568708413,1.330404879574153,-0.10857942439079675,0.04920954130395566,-2857.5009654675728
37,-418.207007448305,0.9361060263792512,0.15799529373789892,4.0,15.0,0.0,418.89735040519764,0.9072057603355442,0.09279423966445577,0.20754674468574588,0.7924532553142541,1.1473204731838795,1.067756017923843,0.12403042740885811,0.24875334108049135,-2857.120229977063
38,-418.0199708966978,0.984269606923118,0.15481942684939737,5.0,31.0,0.0,419.85717036647515,0.4376923970964324,0.5623076029035676,0.5885906471802362,0.41140935281976376,0.6008348877504212,1.3115868754313071,0.32768894007444904,-0.21983051801832643,-2866.1672973975155
39,-420.23958970764374,0.96505364476857,0.15262331271699942,4.0,31.0,0.0,421.52938480288645,0.004246461188513033,0.995753538811487,0.34553002988549697,0.654469970114503,0.8011475604219028,1.1805561598410654,0.7998936338351799,0.04098338176752055,-2852.574308514278
40,-419.37451000757494,0.8560175068390949,0.14135270509879827,4.0,19.0,0.0,424.7479257065478,0.8822505243568074,0.1177494756431926,0.9627876154998217,0.037212384500178275,0.9747521885714708,1.886084793724011,0.024218436405248615,0.426780978376334,-2854.248045745887
41,-416.15235504538543,1.0,0.15799529373789892,3.0,15.0,0.0,419.1129718019414,0.5576462458548893,0.4423537541451107,0.43797133765157836,0.5620286623484216,1.365699956010657,0.7937011283640545,-0.0951069732064499,0.17636877751560465,-2853.137578447414
